Among ^in++++=Among
into ^in++++=into
the ^ati++++=the
soil ^nn++++=soil
increases ^nns++++=increases
their ^pp$+pp3+++=their
exposure ^nn++++=exposure
to ^in++++=to
predation ^nn+nom+++=predation
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
seeds ^nns++++=seeds
of ^in++++=of
pioneer ^nn+nom+++=pioneer
species ^nn++++=species
are ^vb+ber+vrb++=are
more ^rbr++++=more
readily ^rb++++=readily
buried ^jj+++xvbn+=buried
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
often ^rb++++=often
experience ^nn+nom+++=experience
greater ^jjr+atrb+++=greater
protection ^nn+nom+++=protection
from ^in++++=from
predators ^nns++++=predators
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
study ^nn++++=study
by ^in++++=by
N ^zz++++=N
brega ^nn+++??+=brega
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
the ^ati++++=the
riparian ^jj+atrb+++=riparian
forest ^nn++++=forest
of ^in++++=of
the ^ati++++=the
Mogi ^np+++??+=Mogi
Gua ^np+++??+=Gua
u ^zz++++=u
River ^npl++++=River,
, ^zz++++=EXTRAWORD
47 ^cd++++=47%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
emerging ^vwbg+++xvbg+=emerging
from ^in++++=from
the ^ati++++=the
seed ^nn++++=seed
bank ^nn++++=bank
were ^vbd+bed+vrb++=were
pioneers ^nns+nom+++=pioneers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
pioneers ^nns+nom+++=pioneers
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
emerged ^jj+atrb++xvbn+=emerged
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
similar ^jj+atrb+++=similar
phytophysiognomies ^nns+++??+=phytophysiognomies
have ^vb+hv+aux++=have
also ^rb++splt++=also
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
emerged ^vbn+v++xvbn+=emerged
species ^nns++++=species
are ^vb+ber+aux++=are
characterized ^vpsv++agls+xvbnx+=characterized
as ^ql++++=as
pioneers ^nns+nom+++=pioneers
( ^zz++++=(Franco
franco ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
