Antagonistic ^np+++??+=Antagonistic
Montesinos ^np+++??+=Montesinos-Navarro
- ^zz++++=EXTRAWORD
navarro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
species ^nn++++=species
include ^vb++++=include
individuals ^nns+nom+++=individuals
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
specialized ^vpsv++agls+xvbnx+=specialized
cheaters ^nns+nom+++=cheaters,
, ^zz++++=EXTRAWORD
engaging ^vbg+++xvbg+=engaging
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
interactions ^nns+nom+++=interactions
without ^in++++=without
providing ^xvbg+++xvbg+=providing
reciprocal ^jj+atrb+++=reciprocal
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
certain ^jj+atrb+++=certain
fig ^nn++++=fig
wasps ^nps++++=wasps
and ^cc++++=and
yucca ^nn+++??+=yucca
moths ^nns++++=moths
( ^zz++++=(Bronstein
bronstein ^nn+++??+=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
natural ^jj+atrb+++=natural
selection ^nn+nom+++=selection
may ^md+pos+++=may
favor ^vb++++=favor
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
life ^nn++++=life
histories ^nns++++=histories
that ^tht+rel+subj++=that
exploit ^vb++++=exploit
the ^ati++++=the
resources ^nns++++=resources
and ^cc++++=and
services ^nns++++=services
offered ^vwbn+++xvbn+=offered
by ^in++++=by
mutualistic ^jj+atrb+++=mutualistic
partners ^nns+nom+++=partners
without ^in++++=without
reciprocation ^nn+nom+++=reciprocation,
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
cheating ^jj+atrb++xvbg+=cheating
interactions ^nns+nom+++=interactions
( ^zz++++=(Bronstein
bronstein ^nn++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
vieira ^np++++=Vieira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
