Employment ^nn+nom+++=Employment
facilitates ^nns+nom+++=facilitates
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
substantial ^jj+atrb+++=substantial
employment ^nn+nom+++=employment
concentrations ^nns+nom+++=concentrations
outside ^jjb++++=outside
the ^ati++++=the
Cbd ^np+++??+=CBD,
, ^zz++++=EXTRAWORD
a ^at++++=a
pattern ^nn++++=pattern
commonly ^rb++++=commonly
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
large ^jj+atrb+++=large
American ^jj+atrb+++=American
cities ^nns++++=cities
where ^wrb+who+++=where
suburbs ^nns++++=suburbs
accommodate ^nn+nom+++=accommodate
significant ^jj+atrb+++=significant
numbers ^nns+nom+++=numbers
of ^in++++=of
households ^nns++++=households,
, ^zz++++=EXTRAWORD
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jobs ^nns++++=jobs.
. ^zz++++=EXTRAWORD
In ^in++++=In
certain ^jj+atrb+++=certain
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
suburban ^jj+atrb+++=suburban
areas ^nns++++=areas
employ ^vb++++=employ
more ^ql++++=more
workers ^nns+nom+++=workers
than ^in++++=than
the ^ati++++=the
city ^nn++++=city
center ^jjr++++=center
itself ^ppl++++=itself
( ^zz++++=(McMillen,
mcmillen ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
2001a ^cd++++=2001a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
development ^nn+nom+++=development
of ^in++++=of
these ^dt+dem+++=these
new ^jj+atrb+++=new
sub ^nn++++=sub-centralities
- ^zz++++=EXTRAWORD
centralities ^nns+nom+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
considerable ^jj+atrb+++=considerable
impact ^nn++++=impact
on ^in++++=on
urban ^jj+atrb+++=urban
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
urban ^jj+atrb+++=urban
economics ^nn++++=economics
literature ^nn++++=literature
typically ^rb++++=typically
refers ^vbz++++=refers
to ^in++++=to
these ^dt+dem+++=these
employment ^nn+nom+++=employment
clusters ^nns+nom+++=clusters
as ^in++++=as
employment ^nn+nom+++=employment
subcenters ^nns+nom+++=subcenters
or ^cc++++=or
small ^jj+atrb+++=Small
business ^nns+nom+++=Business
districts ^nns++++=Districts
( ^zz++++=(SBDs).
sbds ^nns++++=EXTRAWORD
). ^nn++++=EXTRAWORD
