Given ^vbd+++xvbn+=Given
of ^in++++=of
areas ^nns++++=areas
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
previously ^rb+tm+++=previously
undisturbed ^jj+pred+++=undisturbed
and ^cc++++=and
for ^in++++=for
identifying ^xvbg+++xvbg+=identifying
species ^nns++++=species
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
currently ^rb++++=currently
rare ^jj+pred+++=rare
or ^cc+phrs+++=or
difficult ^jj++++=difficult
to ^to+jcmp+++=to
collect ^vbi++++=collect
in ^in++++=in
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
future ^jjb+atrb+++=future
research ^nn++++=research
on ^in++++=on
fauna ^nn++++=fauna
and ^cc++++=and
environmental ^jj+atrb+++=environmental
conservation ^nn+nom+++=conservation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subfamily ^jj+atrb+++=subfamily
Culicinae ^np+++??+=Culicinae
constitutes ^vbz++++=constitutes
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
genus ^nns+++??+=genus
Culex ^np+++??+=Culex
accounting ^vwbg+++xvbg+=accounting
for ^in++++=for
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
among ^in++++=among
52 ^cd++++=52
species ^nn++++=species,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
the ^ati++++=the
most ^ql+emph+++=most
diverse ^jj++++=diverse
genus ^vbz+++??+=genus
represented ^vbd+++xvbn+=represented.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genera ^nns++++=genera
Aedeomyia ^np+++??+=Aedeomyia,
, ^zz++++=EXTRAWORD
Lutzia ^np+++??+=Lutzia,
, ^zz++++=EXTRAWORD
Onirion ^np+++??+=Onirion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Shannoniana ^np+++??+=Shannoniana
are ^vb+ber+aux++=are
minimally ^rb++splt++=minimally
represented ^vpsv++agls+xvbnx+=represented,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
only ^rb+down+++=only
one ^cd1++++=one
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
subfamily ^jj+atrb+++=subfamily
Anophelinae ^np+++??+=Anophelinae,
, ^zz++++=EXTRAWORD
two ^cd++++=two
genera ^nns++++=genera
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded:
: ^zz++++=EXTRAWORD
Anopheles ^np+++??+=Anopheles,
, ^zz++++=EXTRAWORD
with ^in++++=with
30 ^cd++++=30
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Chagasia ^np+++??+=Chagasia,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
species ^nn++++=species.
. ^zz++++=EXTRAWORD
The ^ati++++=The
30 ^cd++++=30-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
duration ^nn+nom+++=duration
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
provides ^vbz+vsua+++=provides
a ^at++++=a
substantial ^jj+atrb+++=substantial
temporal ^jj+atrb+++=temporal
framework ^nn++++=framework
for ^in++++=for
analyzing ^xvbg+++xvbg+=analyzing
population ^nn+nom+++=population
dynamics ^nn++++=dynamics
and ^cc++++=and
detecting ^jj++++=detecting
previously ^rb+tm+++=previously
unrecorded ^jj+atrb+++=unrecorded
species ^nn++++=species,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
generation ^nn+nom+++=generation
of ^in++++=of
data ^nns++++=data
relevant ^jj++++=relevant
to ^in++++=to
areas ^nns++++=areas
with ^in++++=with
epidemiological ^jj+atrb+++=epidemiological
potential ^nn++++=potential
for ^in++++=for
culicid ^nn++++=culicid-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
diseases ^nns++++=diseases
[ ^zz++++=[22].
22 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
