Multivariate ^np+nom++??+=Multivariate
for ^in++++=for
evaluating ^xvbg+++xvbg+=evaluating
convergent ^jj+atrb+++=convergent
validity ^nn+nom+++=validity
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
increasingly ^rb++++=increasingly
prevalent ^jj++++=prevalent
in ^in++++=in
recent ^jj+atrb+++=recent
empirical ^jj+atrb+++=empirical
studies ^nns++++=studies
( ^zz++++=(Fock
fock ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Niclasen ^np+++??+=Niclasen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Obasi ^np+++??+=Obasi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
variance ^nn+nom+++=variance
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
Selfitis ^np+++??+=Selfitis
Behavior ^nn++++=Behavior
Scale ^nn++++=Scale
( ^zz++++=(SBS),
sbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
four ^cd++++=four
levels ^nns++++=levels
of ^in++++=of
selfitis ^nns+++??+=selfitis
were ^vbd+bed+aux++=were
defined ^vpsv++agls+xvbnx+=defined:
: ^zz++++=EXTRAWORD
scores ^nns++++=scores
of ^in++++=of
20 ^cd++++=20
40 ^cd++++=40
indicate ^nn+nom+++=indicate
low ^jj+atrb+++=low
selfitis ^nns+++??+=selfitis
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
41 ^cd++++=41
60 ^cd++++=60
indicate ^nn+nom+++=indicate
mild ^jj+atrb+++=mild
selfitis ^nns+++??+=selfitis
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
61 ^cd++++=61
80 ^cd++++=80
indicate ^nn+nom+++=indicate
moderate ^jj+atrb+++=moderate
selfitis ^nns+++??+=selfitis
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
81 ^cd++++=81
100 ^cd++++=100
indicate ^nn+nom+++=indicate
severe ^jj+atrb+++=severe
selfitis ^nns++++=selfitis
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
