Discrimination ^nn+nom+++=Discrimination
more ^rbr++++=more
discrimination ^nn+nom+++=discrimination
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
religious ^jj+atrb+++=religious
heritage ^nn+nom+++=heritage
( ^zz++++=(Hopkins
hopkins ^nns+++??+=EXTRAWORD
& ^zz++++=&
Blackwood ^np+++??+=Blackwood,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identifications ^nns+nom+++=identifications
of ^in++++=of
Turkish ^jj+atrb+++=Turkish
and ^cc+phrs+++=and
Moroccan ^jj+atrb+++=Moroccan
minorities ^nns+nom+++=minorities
in ^in++++=in
five ^cd++++=five
European ^jj+atrb+++=European
cities ^nns++++=cities
were ^vbd+bed+vrb++=were
less ^rbr++++=less
compatible ^jj+pred+++=compatible
( ^zz++++=(negatively
negatively ^rb++++=EXTRAWORD
correlated ^vbd+++xvbn+=correlated)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
personal ^jj+atrb+++=personal
discrimination ^nn+nom+++=discrimination
experiences ^nns+nom+++=experiences;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
discrimination ^nn+nom+++=discrimination,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
dual ^jj+atrb+++=dual
identities ^nns+nom+++=identities
were ^vbd+bed+vrb++=were
more ^rbr++++=more
compatible ^jj+pred+++=compatible
( ^zz++++=(no
no ^at++++=EXTRAWORD
or ^cc++++=or
positive ^jj+atrb+++=positive
correlation ^nn+nom+++=correlation)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fleischmann
fleischmann ^np++++=EXTRAWORD
& ^zz++++=&
Phalet ^np+++??+=Phalet,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Likewise ^rb+cnj+++=Likewise,
, ^zz++++=EXTRAWORD
a ^at++++=a
recent ^jj+atrb+++=recent
study ^nn++++=study
among ^in++++=among
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
in ^in++++=in
Germany ^np++++=Germany
found ^vbd+vprv++xvbn+=found
less ^rbr++++=less
compatible ^jj+atrb+++=compatible
ethno ^np++++=ethno-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identities ^nns+nom+++=identities
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
experienced ^vbd+++xvbnx+=experienced
more ^rbr++++=more
discrimination ^nn+nom+++=discrimination
( ^zz++++=(Fleischmann
fleischmann ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Along ^in++++=Along
similar ^jj+atrb+++=similar
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
that ^tht+vcmp+++=that
national ^jj+atrb+++=national
identification ^nn+nom+++=identification
would ^md+prd+++=would
be ^vb+be+vrb++=be
less ^rbr++++=less
compatible ^jj+pred+++=compatible
with ^in++++=with
ethnic ^jj+atrb+++=ethnic
identification ^nn+nom+++=identification
( ^zz++++=(negatively
negatively ^rb++++=EXTRAWORD
correlated ^vbd+++xvbn+=correlated)
) ^zz++++=EXTRAWORD
when ^wrb+who+++=when
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
collectively ^jj++++=collectively
experienced ^jj+++xvbn+=experienced
more ^rbr++++=more
school ^nn++++=school
discrimination ^nn+nom+++=discrimination
( ^zz++++=(Hypothesis
hypothesis ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
hypothesis ^nn++++=hypothesis
would ^md+prd+++=would
be ^vb+be+aux++=be
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
a ^at++++=a
significant ^jj++++=significant
cross ^jj++++=cross-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
interaction ^nn+nom+++=interaction
between ^in++++=between
individual ^jj++++=individual-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
ethnic ^nn++++=ethnic
identification ^nn+nom+++=identification
and ^cc++++=and
classroom ^nn++++=classroom-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
minority ^nn+nom+++=minority
peer ^nn++++=peer
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
that ^tht+vcmp+++=that
ethnic ^jj+atrb+++=ethnic
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identification ^nn+nom+++=identification
would ^md+prd+++=would
be ^vb+be+aux++=be
negatively ^rb++splt++=negatively
associated ^vpsv++agls+xvbnx+=associated
at ^rb++++=at
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
minority ^nn+nom+++=minority
peer ^nn++++=peer
discrimination ^nn+nom+++=discrimination
but ^cc++++=but
positively ^rb++++=positively
associated ^jj+++xvbn+=associated
or ^cc+phrs+++=or
dissociated ^jj+++xvbn+=dissociated
at ^in++++=at
low ^jj+atrb+++=low
levels ^nns++++=levels
of ^in++++=of
minority ^nn+nom+++=minority
peer ^nn++++=peer
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thus ^rb+cnj+++=thus
add ^vb+vpub+++=add
to ^in++++=to
the ^ati++++=the
literature ^nn++++=literature
on ^in++++=on
discrimination ^nn+nom+++=discrimination
and ^cc++++=and
Ers ^np+++??+=ERS
by ^in++++=by
zooming ^xvbg+++xvbg+=zooming
in ^in++++=in
on ^in++++=on
compatible ^jj+atrb+++=compatible
dual ^jj+atrb+++=dual
identities ^nns+nom+++=identities
and ^cc++++=and
by ^in++++=by
highlighting ^xvbg+++xvbg+=highlighting
collective ^jj+atrb+++=collective
experiences ^nns+nom+++=experiences
of ^in++++=of
discrimination ^nn+nom+++=discrimination
in ^in++++=in
the ^ati++++=the
minority ^nn+nom+++=minority
peer ^nn++++=peer
group ^nn++++=group
( ^zz++++=(Wiley
wiley ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
