Stigma ^nn++++=Stigma
, ^zz++++=EXTRAWORD
endorse ^vb++++=endorse
and ^cc+phrs+++=and
internalize ^vb++++=internalize
stereotypes ^nns+++??+=stereotypes
and ^cc++++=and
apply ^vb++++=apply
negative ^jj+atrb+++=negative
beliefs ^nns++++=beliefs
to ^in++++=to
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feeling ^jj+++xvbg+=feeling
of ^in++++=of
shame ^nn++++=shame
about ^in++++=about
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition
increases ^nns++++=increases
and ^cc++++=and
can ^md+pos+++=can
be ^vb+be+vrb++=be
prominent ^jj+pred+++=prominent
when ^wrb+who+++=when
seeking ^jj+atrb++xvbg+=seeking
external ^jj+atrb+++=external
assistance ^nn+nom+++=assistance
such ^abl++++=such
as ^ql++++=as
medical ^jj+atrb+++=medical
treatment ^nn+nom+++=treatment
( ^zz++++=(
Conner ^np++++=Conner
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Corrigan ^np+nom++??+=Corrigan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Luoma ^np+++??+=Luoma
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Indeed ^qlp++++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
behavioral ^jj+atrb+++=behavioral
consequences ^nns+nom+++=consequences
of ^in++++=of
such ^abl++++=such
feelings ^nns+nom+++=feelings
can ^md+pos+++=can
be ^vb+be+vrb++=be
sufficiently ^rb++++=sufficiently
powerful ^jj+pred+++=powerful
that ^cs+sub+++=that
some ^dti++++=some
programs ^nns+++??+=programs
to ^to++++=to
treat ^vbi++++=treat
mental ^jj+atrb+++=mental
disorders ^nns+nom+++=disorders
may ^md+pos+++=may
even ^rb++++=even
unintentionally ^rb++++=unintentionally
use ^nn++++=use
and ^cc++++=and
promote ^vb++++=promote
self ^nn++++=self-stigma,
- ^zz++++=EXTRAWORD
stigma ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
substance ^nn+nom+++=substance
abuse ^nn++++=abuse
disorders ^nns+nom+++=disorders
( ^zz++++=(
Corrigan ^np+nom+++=Corrigan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Corrigan ^np+nom++??+=Corrigan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mentioned ^vbd+vpub++xvbn+=mentioned
for ^in++++=for
instance ^nn+nom+++=instance
the ^ati++++=the
Twelve ^cd++++=Twelve
step ^vb++++=step
program ^nn+++??+=program
that ^tht+rel+subj++=that
encourages ^nns+nom+++=encourages
individuals ^nns+nom+++=individuals
having ^vwbg+hvg++xvbg+=having
substance ^nn+nom+++=substance
disorders ^nns+nom+++=disorders
to ^to++++=to
admit ^vbi+vpub+++=admit
their ^pp$+pp3+++=their
incapacity ^nn+nom+++=incapacity
to ^in++++=to
control ^nn++++=control
their ^pp$+pp3+++=their
addiction ^nn+nom+++=addiction.
. ^zz++++=EXTRAWORD
