Prior ^in+cmpx+++=Prior
change ^nn++++=change)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
a ^at++++=a
brief ^jj+atrb+++=brief
pause ^nn++++=pause
during ^in++++=during
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
maintains ^vbz+vpub+++=maintains
the ^ati++++=the
position ^nn+nom+++=position
he ^pp3a+pp3+++=he
expects ^vbz++++=expects
students ^nns++++=students
to ^to++++=to
replicate ^nn+nom+++=replicate.
. ^zz++++=EXTRAWORD
Subsequent ^jj+atrb+++=Subsequent
instructions ^nns+nom+++=instructions
( ^zz++++=(
rol ^nn+++??+=rol
roll ^nn++++=roll,
, ^zz++++=EXTRAWORD
troca ^nn+++??+=troca
change ^nn++++=change)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
delivered ^vpsv++agls+xvbnx+=delivered
immediately ^rb+tm+++=immediately
before ^in++++=before
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
instructions ^nns+nom+++=instructions
are ^vb+ber+vrb++=are
deictic ^jj+pred+++=deictic
and ^cc++++=and
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
accurately ^rb++splt++=accurately
interpreted ^vpsv++agls+xvbnx+=interpreted
when ^wrb+who+++=when
paired ^vbd+++xvbn+=paired
with ^in++++=with
the ^ati++++=the
demonstrated ^jj+atrb++xvbn+=demonstrated
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
instructions ^nns+nom+++=instructions
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
comprehension ^nn++++=comprehension
is ^vbz+bez+aux++=is
not ^xnot++not++=not
hindered ^vbd+++xvbn+=hindered
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
simultaneous ^jj+atrb+++=simultaneous
demonstration ^nn+nom+++=demonstration
of ^in++++=of
the ^ati++++=the
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
