Consistent ^jj++++=Consistent
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
disagreement ^nn+nom+++=disagreement
among ^in++++=among
teachers ^nns+nom+++=teachers
regarding ^in++++=regarding
the ^ati++++=the
appropriateness ^nns+nom+++=appropriateness
of ^in++++=of
such ^abl++++=such
displays ^nns++++=displays.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
teachers ^nns+nom+++=teachers
supported ^vbd+++xvbn+=supported
moderate ^jj+atrb+++=moderate
emotional ^jj+atrb+++=emotional
expression ^nn++++=expression
as ^in++++=as
a ^at++++=a
means ^nn++++=means
to ^to++++=to
regulate ^nn+nom+++=regulate
student ^nn++++=student
behavior ^nn++++=behavior
( ^zz++++=(Chang
chang ^nn+++??+=EXTRAWORD
& ^zz++++=&
Daves ^np+++??+=Daves,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
viewed ^jj+++xvbn+=viewed
it ^pp3+it+++=it
as ^in++++=as
inconsistent ^nn++++=inconsistent
with ^in++++=with
the ^ati++++=the
ethical ^jj+atrb+++=ethical
standards ^nns++++=standards
of ^in++++=of
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
profession ^nn++++=profession
( ^zz++++=(Buri
buri ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Teachers ^nns+nom+++=Teachers
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
practicing ^vbg+++xvbg+=practicing
emotional ^jj+atrb+++=emotional
authenticity ^nn+nom+++=authenticity
also ^rb++++=also
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
rate ^vbi++++=rate
themselves ^ppls+pp3+++=themselves
as ^in++++=as
more ^rbr++++=more
effective ^jj++++=effective
and ^cc+phrs+++=and
better ^jjr++++=better
connected ^jj+++xvbn+=connected
with ^in++++=with
their ^pp$+pp3+++=their
students ^nns++++=students
( ^zz++++=(Sutton,
sutton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Frenzel ^np+++??+=Frenzel,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
displaying ^vbg+++xvbg+=displaying
authentic ^jj+atrb+++=authentic
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
aligned ^xvbn+++xvbn+=aligned
with ^in++++=with
situational ^jj+atrb+++=situational
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
facilitate ^nn+nom+++=facilitate
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
influence ^nn+nom+++=influence
student ^nn++++=student
behavior ^nn++++=behavior
( ^zz++++=(hetero-regulation)
hetero ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
foster ^vb++++=foster
closer ^rbr++++=closer
teacher ^nn++++=teacher-student
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
relationships ^nns+nom+++=relationships
( ^zz++++=(Sutton,
sutton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
authenticity ^nn+nom+++=authenticity
may ^md+pos+++=may
represent ^vb++++=represent
an ^at++++=an
effective ^jj+atrb+++=effective
form ^nn++++=form
of ^in++++=of
emotional ^jj+atrb+++=emotional
labor ^nn++++=labor
in ^in++++=in
educational ^jj+atrb+++=educational
settings ^nns++++=settings
( ^zz++++=(Ashforth
ashforth ^nn+++??+=EXTRAWORD
& ^zz++++=&
Humphrey ^np++++=Humphrey,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
 ^zz++++=&
Frenzel ^np++++=Frenzel,
 ^zz++++=EXTRAWORD
015 ^cd++++=2015;
 ^zz++++=EXTRAWORD
Yin ^np++++=Yin,
 ^zz++++=EXTRAWORD
016 ^cd++++=2016).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
