With ^in++++=With
seeds ^nns++++=seeds
that ^tht+rel+subj++=that
retain ^vb++++=retain
desiccation ^nn+nom+++=desiccation
tolerance ^nn+nom+++=tolerance
after ^in++++=after
storage ^nn+nom+++=storage
( ^zz++++=(Orozco-Segovia
orozco ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
segovia ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Souza ^np+++??+=Souza
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Cerrado ^np+++??+=Cerrado,
, ^zz++++=EXTRAWORD
Acrocomia ^np+++??+=Acrocomia
aculeata ^nn+++??+=aculeata
( ^zz++++=(Jacq.)
jacq ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Lodd ^np+++??+=Lodd.
. ^zz++++=EXTRAWORD
ex ^jjb++++=ex
Mart ^np++++=Mart.
. ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
desiccation ^nn+nom+++=desiccation-tolerant
- ^zz++++=EXTRAWORD
tolerant ^jj++++=EXTRAWORD
and ^cc++++=and
can ^md+pos+++=can
be ^vb+be+aux++=be
stored ^vpsv++agls+xvbnx+=stored
for ^in++++=for
over ^in++++=over
one ^cd1++++=one
year ^nn++++=year
at ^in++++=at
low ^jj+atrb+++=low
temperatures ^nns++++=temperatures
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
C ^zz++++=C;
; ^zz++++=EXTRAWORD
Ribeiro ^np+++??+=Ribeiro
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ex ^jjb+atrb+++=Ex
situ ^nn++++=situ
seed ^nn++++=seed
conservation ^nn+nom+++=conservation
is ^vbz+bez+vrb++=is
a ^at++++=a
global ^jj+atrb+++=global
concern ^nn++++=concern
( ^zz++++=(CBD
cbd ^nn+++??+=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Walters ^nns+nom+++=Walters
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
longevity ^nn+nom+++=longevity
of ^in++++=of
most ^ql+emph+++=most
tropical ^jj+atrb+++=tropical
palm ^nn++++=palm
seeds ^nns++++=seeds
remains ^nns++++=remains
insufficiently ^rb++++=insufficiently
understood ^vbd+vprv++xvbn+=understood
( ^zz++++=(Broschat
broschat ^nn+++??+=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Pivetta ^np+++??+=Pivetta
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
natural ^jj+atrb+++=natural
habitats ^nns+++??+=habitats
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
alba ^nn+++??+=alba
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^to++++=to
extended ^vbi++++=extended
drought ^nn++++=drought
periods ^nns++++=periods,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
multi ^nn+++??+=multi-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
dry ^jj+atrb+++=dry
spells ^nns++++=spells
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
Pantanal ^np+nom++??+=Pantanal
( ^zz++++=(Thielen
thielen ^vb+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
in ^in++++=in
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
desiccation ^nn+nom+++=desiccation
tolerance ^nn+nom+++=tolerance
may ^md+pos+++=may
be ^vb+be+vrb++=be
important ^jj+pred+++=important
for ^in++++=for
the ^ati++++=the
persistence ^nn+nom+++=persistence
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
under ^in++++=under
such ^abl++++=such
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
low ^jj++++=low-temperature
- ^zz++++=EXTRAWORD
temperature ^nn++++=EXTRAWORD
storage ^nn+nom+++=storage
and ^cc++++=and
in ^in++++=in
vitro ^nn+++??+=vitro
propagation ^nn+nom+++=propagation
methods ^nns++++=methods
on ^rp++++=on
C ^zz++++=C.
 ^zz++++=EXTRAWORD
Alba ^nn++++=alba
Seeds ^nns++++=seeds
Have ^vb+hv+aux++=have
Not ^xnot++not++=not
Yet ^rb++++=yet
Been ^vbd+ben+aux++=been
Investigated ^vpsv++agls+xvbn+=investigated.
 ^zz++++=EXTRAWORD
