Despite ^in++++=Despite
repertoires ^nns+++??+=repertoires,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
funds ^nns++++=funds
of ^in++++=of
knowledge ^nn++++=knowledge
possessed ^vwbn+++xvbn+=possessed
by ^in++++=by
some ^dti++++=some
Timorese ^np+nom++??+=Timorese
individuals ^nns+nom+++=individuals
in ^in++++=in
Northern ^np++++=Northern
Ireland ^np++++=Ireland
have ^vb+hv+aux++=have
enabled ^vprf+++xvbnx+=enabled
them ^pp3o+pp3+++=them
to ^to++++=to
assume ^vbi+vprv+++=assume
leadership ^nn+nom+++=leadership
roles ^nns++++=roles
in ^in++++=in
organizing ^xvbg+++xvbg+=organizing
group ^nn++++=group
activities ^nns+nom+++=activities
with ^in++++=with
distinctive ^jj+atrb+++=distinctive
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
football ^nn++++=football
clubs ^nns++++=clubs
with ^in++++=with
particular ^jj+atrb+++=particular
ethos ^nn++++=ethos
or ^cc++++=or
cultural ^jj+atrb+++=cultural
groups ^nns++++=groups
oriented ^vbd+++xvbn+=oriented
towards ^in++++=towards
specific ^jj+atrb+++=specific
aspects ^nns++++=aspects
of ^in++++=of
Timorese ^np+nom++??+=Timorese
heritage ^nn+nom+++=heritage.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
significant ^jj+atrb+++=significant
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
exercise ^vbi++++=exercise
agency ^nn++++=agency
within ^in++++=within
local ^jj+atrb+++=local
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
spaces ^nns++++=spaces
for ^in++++=for
solidarity ^nn+nom+++=solidarity
and ^cc++++=and
social ^jj+atrb+++=social
interaction ^nn+nom+++=interaction
through ^in++++=through
organizational ^jj+atrb+++=organizational
practices ^nns++++=practices
that ^tht+rel+subj++=that
involve ^vb++++=involve
complex ^jj++++=complex
and ^cc++++=and
context ^nn++++=context-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
uses ^nns++++=uses
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
and ^cc+phrs+++=and
semiotic ^jj+atrb+++=semiotic
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Concurrently ^np+++??+=Concurrently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
processes ^nns+nom+++=processes
of ^in++++=of
adaptation ^nn+nom+++=adaptation
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
country ^nn++++=country
are ^vb+ber+aux++=are
contributing ^vbg+++xvbgx+=contributing
to ^in++++=to
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
a ^at++++=a
strong ^jj+atrb+++=strong
sense ^nn++++=sense
of ^in++++=of
shared ^jj+atrb++xvbn+=shared
history ^nn++++=history
and ^cc++++=and
belonging ^vbg+++xvbg+=belonging
linked ^vbd+++xvbn+=linked
to ^to++++=to
the ^ati++++=the
nation ^nn++++=nation
of ^in++++=of
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
