Among ^in++++=Among
. ^zz++++=EXTRAWORD
Journals ^nns+nom+++=Journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Scielo ^np+++??+=SciELO
and ^cc++++=and
Redalyc ^np+++??+=Redalyc
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
specific ^jj+atrb+++=specific
cataloging ^nvbg+++xvbg+=cataloging,
, ^zz++++=EXTRAWORD
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
digitization ^nn+nom+++=digitization
procedures ^nns++++=procedures
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
both ^abx++++=both
material ^nn++++=material
and ^cc++++=and
human ^jj+atrb+++=human
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
resources ^nns++++=resources
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
provided ^vpsv++by+xvbnx+=provided
by ^in++++=by
the ^ati++++=the
publishing ^jj+atrb++xvbg+=publishing
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
some ^dti++++=some
journals ^nns+nom+++=journals
use ^nn++++=use
Apcs ^np+++??+=APCs
to ^in++++=to
finance ^nn+nom+++=finance
expenses ^nns++++=expenses
such ^abl++++=such
as ^ql++++=as
Doi ^np+++??+=DOI
registration ^nn+nom+++=registration,
, ^zz++++=EXTRAWORD
translation ^nn+nom+++=translation
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
administrative ^jj+atrb+++=administrative
or ^cc+phrs+++=or
technical ^jj+atrb+++=technical
support ^nn++++=support.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
differs ^nns+nom+++=differs
from ^in++++=from
the ^ati++++=the
business ^nns+nom+++=business
model ^nn++++=model
employed ^vwbn+++xvbn+=employed
by ^in++++=by
commercial ^jj+atrb+++=commercial
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
that ^tht+rel+++=that
charge ^nn++++=charge
high ^jj+atrb+++=high
Apcs ^np+++??+=APCs
comparable ^jj++++=comparable
to ^in++++=to
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
mainstream ^nn++++=mainstream
publishing ^nn++++=publishing
industry ^nn++++=industry
are ^vb+ber+vrb++=are
rare ^jj+pred+++=rare.
. ^zz++++=EXTRAWORD
