Once ^rb+tm+++=Once
produced ^vbd+++xvbn+=produced
time ^nn++++=time-aligned
- ^zz++++=EXTRAWORD
aligned ^vbd+++xvbn+=EXTRAWORD
transcriptions ^nns+nom+++=transcriptions
of ^in++++=of
these ^dt+dem+++=these
recordings ^nns++++=recordings
using ^vwbg+++xvbg+=using
Elan ^np+++??+=ELAN,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
also ^rb++++=also
archived ^jj+++xvbn+=archived
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
repository ^nn++++=repository
( ^zz++++=(Cowell,
cowell ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019+ ^cd++++=2019+).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
collections ^nns+nom+++=collections
are ^vb+ber+vrb++=are
cross ^jj+pred+++=cross-referenced
- ^zz++++=EXTRAWORD
referenced ^jj+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
archive ^jj+atrb+++=archive
s ^zz++++=s
digital ^jj+atrb+++=digital
catalog ^nn+++??+=catalog,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
their ^pp$+pp3+++=their
joint ^jjb+atrb+++=joint
consultation ^nn+nom+++=consultation.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Gladwyn ^np+++??+=Gladwyn
Kingsley ^np++++=Kingsley
Noble ^jj++++=Noble,
, ^zz++++=EXTRAWORD
Jr ^np+++??+=Jr.
. ^zz++++=EXTRAWORD
( ^zz++++=(1923
1923 ^cd+date+++=EXTRAWORD
1994 ^cd+date+++=1994)
) ^zz++++=EXTRAWORD
recorded ^vbn+vpub++xvbn+=recorded
speakers ^nns+nom+++=speakers
of ^in++++=of
Wapishana ^np+++??+=Wapishana
and ^cc++++=and
Atorai ^np+++??+=Atorai
( ^zz++++=(Arawak;
arawak ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Guyana ^np+++??+=Guyana)
) ^zz++++=EXTRAWORD
during ^in++++=during
a ^at++++=a
field ^nn++++=field
trip ^nn++++=trip
to ^in++++=to
Guyana ^np+++??+=Guyana
in ^in++++=in
1965 ^cd+date+++=1965.
. ^zz++++=EXTRAWORD
After ^in++++=After
passing ^nn++++=passing
through ^in++++=through
the ^ati++++=the
possession ^nn++++=possession
of ^in++++=of
various ^jj+atrb+++=various
academics ^nns++++=academics,
, ^zz++++=EXTRAWORD
the ^ati++++=the
13 ^cd++++=13
tapes ^nns++++=tapes
were ^vbd+bed+aux++=were
donated ^vwbn+++xvbn+=donated
to ^in++++=to
the ^ati++++=the
California ^np++++=California
Language ^nn+nom+++=Language
Archive ^np+++??+=Archive
around ^in++++=around
2006 ^cd++++=2006
by ^in++++=by
Manjari ^np+++??+=Manjari
Ohala ^np+++??+=Ohala
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
George ^np++++=George
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1965 ^cd+date+++=1965).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Atorai ^np+++??+=Atorai
recordings ^nns++++=recordings,
, ^zz++++=EXTRAWORD
previously ^rb+tm+++=previously
believed ^vbd+vprv++xvbn+=believed
to ^to+vcmp+++=to
represent ^vbi++++=represent
a ^at++++=a
language ^nn+nom+++=language
with ^in++++=with
no ^at++++=no
remaining ^jj+++xvbg+=remaining
first ^od++++=first-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
speakers ^nns+nom+++=speakers,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++by+xvbnx+=used
by ^in++++=by
O ^zz++++=O
Hagan ^np+++??+=Hagan
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
preliminary ^jj+atrb+++=preliminary
phonological ^jj+atrb+++=phonological
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
further ^jjb+pred+++=further
developed ^vpsv++by+xvbn+=developed
by ^in++++=by
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Miller ^np++++=Miller
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
undergraduate ^nn+nom+++=undergraduate
honors ^nns++++=honors
thesis ^nn++++=thesis.
. ^zz++++=EXTRAWORD
In ^in++++=In
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
the ^ati++++=the
texts ^nns++++=texts
from ^in++++=from
these ^dt+dem+++=these
recordings ^nns++++=recordings
were ^vbd+bed+aux++=were
translated ^vpsv++by+xvbnx+=translated
by ^in++++=by
remaining ^xvbg+++xvbg+=remaining
speakers ^nns+nom+++=speakers
now ^rn+tm+++=now
living ^nvbg+++xvbg+=living
in ^in++++=in
Wapishana ^np+++??+=Wapishana
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
materials ^nns+nom+++=materials
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
foundation ^nn+nom+++=foundation
for ^in++++=for
an ^at++++=an
Atorai ^np+++??+=Atorai
language ^nn+nom+++=language
workshop ^nn++++=workshop
planned ^vwbn+++xvbn+=planned
for ^in+ppvb+++=for
2022 ^cd++++=2022
( ^zz++++=(K.
k ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
rybka ^np++++=Rybka,
, ^zz++++=EXTRAWORD
p.c. ^nn++++=p.c.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
