Ex ^np++++=Ex-situ
Ellis ^np++++=Ellis
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
longevity ^nn+nom+++=longevity
of ^in++++=of
stored ^xvbn+++xvbn+=stored
palm ^np++++=palm
seeds ^nns++++=seeds
varies ^vbz++++=varies
among ^in++++=among
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
optimal ^jj+atrb+++=optimal
ex ^np++++=ex-situ
- ^zz++++=EXTRAWORD
situ ^nn++++=EXTRAWORD
conservation ^nn+nom+++=conservation
conditions ^nns+nom+++=conditions
generally ^rb+down+++=generally
involve ^vb++++=involve
reducing ^vbg+++xvbg+=reducing
metabolic ^jj+atrb+++=metabolic
activity ^nn+nom+++=activity
by ^in++++=by
maintaining ^xvbg+++xvbg+=maintaining
relatively ^rb++++=relatively
low ^jj+atrb+++=low
humidity ^nn+nom+++=humidity
and ^cc++++=and
temperature ^nn++++=temperature
levels ^nns++++=levels
( ^zz++++=(Pivetta
pivetta ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Laboratory ^nn++++=Laboratory
studies ^nns++++=studies
have ^vb+hv+aux++=have
recommended ^vprf+++xvbnx+=recommended
storage ^nn+nom+++=storage
temperatures ^nns++++=temperatures
between ^in++++=between
18 ^cd++++=18
and ^cc++++=and
23 ^cd++++=23
C ^zz++++=C
for ^in++++=for
most ^ql+emph+++=most
palm ^np++++=palm
seeds ^nns++++=seeds
( ^zz++++=(Broschat
broschat ^nn+++??+=EXTRAWORD
1994 ^cd+date+++=1994),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tested ^vpsv++agls+xvbnx+=tested
for ^rb++++=for
certain ^rb"++++=certain
tropical ^jj+atrb+++=tropical
species ^nn++++=species,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Acrocomia ^np+++??+=Acrocomia
aculeata ^nn+++??+=aculeata
from ^in++++=from
the ^ati++++=the
Cerrado ^np+++??+=Cerrado
savannas ^nns+++??+=savannas
( ^zz++++=(Ribeiro
ribeiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Copernicia ^np+++??+=Copernicia
alba ^nn+++??+=alba
from ^in++++=from
brazilian ^jj+atrb+++=Brazilian
wetlands ^nns++++=wetlands
( ^zz++++=(Masetto
masetto ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
