Plants ^nns++++=Plants
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
plant ^nn++++=plant
structures ^nns++++=structures
are ^vb+ber+aux++=are
quantified ^vpsv++agls+xvbnx+=quantified
using ^vbg+++xvbg+=using
mechanical ^jj+atrb+++=mechanical
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
Structural ^jj+atrb+++=Structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
quantifies ^vbz++++=quantifies
bending ^nvbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
relative ^nn++++=relative
to ^in++++=to
the ^ati++++=the
sample ^nn++++=sample
s ^zz++++=s
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
area ^nn++++=area
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
toughness ^nns+nom+++=toughness
refers ^vbz++++=refers
to ^in++++=to
a ^at++++=a
material ^nn++++=material
s ^zz++++=s
resistance ^nn+nom+++=resistance
to ^in++++=to
fracture ^nn++++=fracture
and ^cc++++=and
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
energy ^nn++++=energy
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
break ^vbi++++=break
an ^at++++=an
object ^nn++++=object.
. ^zz++++=EXTRAWORD
Toughness ^nns+nom++??+=Toughness
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
measured ^vpsv++agls+xvbnx+=measured
as ^ql++++=as
the ^ati++++=the
area ^nn++++=area
under ^in++++=under
a ^at++++=a
stress ^nn++++=stress-strain
- ^zz++++=EXTRAWORD
strain ^nn++++=EXTRAWORD
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
the ^ati++++=the
work ^nn++++=work
done ^vwbn+++xvbn+=done
per ^nnu++++=per
unit ^nn++++=unit
volume ^nn++++=volume
( ^zz++++=(Vincent
vincent ^np++++=EXTRAWORD
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Niklas ^np+++??+=Niklas
1992 ^cd+date+++=1992).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
mechanical ^jj+atrb+++=mechanical
properties ^nns++++=properties
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
geometry ^nn++++=geometry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
water ^nn++++=water
content ^nn++++=content
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Vincent ^np++++=Vincent
1990a ^cd++++=1990a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
mechanical ^jj+atrb+++=mechanical
properties ^nns++++=properties
of ^in++++=of
homogeneous ^jj+atrb+++=homogeneous
materials ^nns+nom+++=materials
such ^abl++++=such
as ^ql++++=as
plastics ^nns++++=plastics
or ^cc++++=or
metals ^nns++++=metals
are ^vb+ber+aux++=are
well ^rb++splt++=well
characterized ^vpsv++agls+xvbnx+=characterized,
, ^zz++++=EXTRAWORD
less ^ql++++=less
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
about ^in++++=about
the ^ati++++=the
mechanical ^jj+atrb+++=mechanical
behavior ^nn++++=behavior
of ^in++++=of
heterogeneous ^jj+atrb+++=heterogeneous
biological ^jj+atrb+++=biological
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
including ^in++++=including
plant ^nn++++=plant
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
