Teachers ^nns+nom+++=Teachers
is ^vbz+bez+vrb++=is
applicable ^jj+pred+++=applicable
to ^in++++=to
the ^ati++++=the
classroom ^nn++++=classroom
context ^nn++++=context
and ^cc++++=and
aligns ^nns+++??+=aligns
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Akbari ^np+++??+=Akbari
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
the ^ati++++=the
families ^nns++++=families
of ^in++++=of
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
and ^cc++++=and
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
emerged ^vbd+++xvbn+=emerged
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
prominent ^jj++++=prominent,
, ^zz++++=EXTRAWORD
corroborating ^jj+++xvbg+=corroborating
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Sutton ^np++++=Sutton
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
also ^rb++++=also
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
high ^jj+atrb+++=high
prevalence ^nn+nom+++=prevalence
of ^in++++=of
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
and ^cc++++=and
Gross ^jj++++=Gross
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
more ^rbr++++=more
frequently ^rb++++=frequently
utilize ^vb++++=utilize
response ^nn++++=response
modulation ^nn+nom+++=modulation
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
suppression ^nn++++=suppression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Akbari ^np+++??+=Akbari
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
situation ^nn+nom+++=situation
selection ^nn+nom+++=selection.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
varying ^jj+atrb++xvbg+=varying
results ^nns++++=results
highlight ^nn++++=highlight
ongoing ^vwbg+++xvbg+=ongoing
disagreements ^nns+nom+++=disagreements
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
regarding ^in++++=regarding
the ^ati++++=the
specific ^jj+atrb+++=specific
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns++++=strategies
teachers ^nns+nom+++=teachers
employ ^vb++++=employ
in ^in++++=in
classroom ^nn++++=classroom
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
