There ^rn+pl+++=There
, ^zz++++=EXTRAWORD
including ^in++++=including
Bridgewater ^np+nom++??+=Bridgewater,
, ^zz++++=EXTRAWORD
Bristol ^np++++=Bristol,
, ^zz++++=EXTRAWORD
Oxford ^np++++=Oxford,
, ^zz++++=EXTRAWORD
Peterborough ^np++++=Peterborough,
, ^zz++++=EXTRAWORD
Leeds ^np++++=Leeds,
, ^zz++++=EXTRAWORD
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Northwich ^np+++??+=Northwich
( ^zz++++=(near
near ^in+pl+++=EXTRAWORD
Manchester ^np+nom+++=Manchester),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
predominantly ^rb++splt++=predominantly
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
the ^ati++++=the
service ^nn++++=service
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
supermarkets ^nns++++=supermarkets,
, ^zz++++=EXTRAWORD
department ^nn+nom+++=department
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
online ^nn+++??+=online
shopping ^vwbg+++xvbg+=shopping
or ^cc++++=or
packing ^vwbg+++xvbg+=packing
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Regardless ^rb++++=Regardless
of ^in++++=of
their ^pp$+pp3+++=their
location ^nn+nom+++=location,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
migrants ^nns+nom+++=migrants
typically ^rb++++=typically
occupy ^vb++++=occupy
precarious ^jj+atrb+++=precarious
positions ^nns+nom+++=positions
within ^in++++=within
the ^ati++++=the
local ^jj+atrb+++=local
economy ^nn++++=economy
and ^cc++++=and
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
what ^wdt+who+++=what
Standing ^vbg+++xvbg+=Standing
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
describes ^vbz++++=describes
as ^in++++=as
the ^ati++++=the
global ^jj+atrb+++=global
precariat ^nn+++??+=precariat.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
recruited ^vpsv++agls+xvbnx+=recruited
through ^in++++=through
employment ^nn+nom+++=employment
agencies ^nns++++=agencies
and ^cc++++=and
are ^vb+ber+aux++=are
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
work ^vb++++=work
flexible ^jj+atrb+++=flexible
schedules ^nns++++=schedules.
. ^zz++++=EXTRAWORD
