Another ^dt++++=Another
collaboration ^nn+nom+++=collaboration,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
exceeds ^vbz++++=exceeds
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
cases ^nns++++=cases
and ^cc++++=and
is ^vbz+bez+vrb++=is
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
than ^in++++=than
in ^in++++=in
the ^ati++++=the
Northeast ^np+++??+=Northeast.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
state ^nn++++=state
listed ^vwbn+++xvbn+=listed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
collaboration ^nn+nom+++=collaboration
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
four ^cd++++=four
states ^nns++++=states
is ^vbz+bez+vrb++=is
approximately ^rb+down+++=approximately
equivalent ^jj+pred+++=equivalent
( ^zz++++=(as
as ^in++++=EXTRAWORD
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
fourth ^od++++=fourth
column ^nn++++=column),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
the ^ati++++=the
proportion ^nn+nom+++=proportion
with ^in++++=with
all ^abn++++=all
other ^ap++++=other
states ^nns++++=states
in ^in++++=in
Brazil ^np++++=Brazil
( ^zz++++=(fifth
fifth ^od++++=EXTRAWORD
column ^nn++++=column).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
demonstrates ^nns+nom+++=demonstrates
a ^at++++=a
clear ^jj+atrb+++=clear
concentration ^nn+nom+++=concentration
of ^in++++=of
collaborative ^jj+atrb+++=collaborative
activity ^nn+nom+++=activity
within ^in++++=within
institutions ^nns+nom+++=institutions
located ^vwbn+++xvbn+=located
in ^in++++=in
these ^dt+dem+++=these
five ^cd++++=five
states ^nns++++=states.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
less ^rbr++++=less
frequent ^jj++++=frequent,
, ^zz++++=EXTRAWORD
collaboration ^nn+nom+++=collaboration
with ^in++++=with
states ^nns++++=states
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
less ^rbr++++=less
prominent ^jj+pred+++=prominent
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
scientific ^jj+atrb+++=scientific
landscape ^nn++++=landscape
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
negligible ^jj++++=negligible.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
notable ^jj+atrb+++=notable
similarity ^nn+nom+++=similarity
in ^in++++=in
the ^ati++++=the
collaboration ^nn+nom+++=collaboration
profiles ^nns++++=profiles
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
states ^nns++++=states
in ^in++++=in
Table ^nn++++=Table
7 ^zz++++=7
may ^md+pos+++=may
indicate ^nn+nom+++=indicate,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
mentioned ^vbd+vpub++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
consistent ^jj+atrb+++=consistent
trends ^nns++++=trends
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
of ^in++++=of
collaboration ^nn+nom+++=collaboration.
. ^zz++++=EXTRAWORD
