Biomechanical ^np+++??+=Biomechanical
with ^in++++=with
the ^ati++++=the
testing ^jj+atrb++xvbg+=testing
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
Stem ^nn++++=Stem
samples ^nns++++=samples
were ^vbd+bed+aux++=were
positioned ^vpsv++agls+xvbnx+=positioned
on ^in++++=on
two ^cd++++=two
vertical ^jj+atrb+++=vertical
supports ^nns++++=supports
with ^in++++=with
a ^at++++=a
small ^jj+atrb+++=small
displacement ^nn+nom+++=displacement
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
mm ^nnu++++=mm)
) ^zz++++=EXTRAWORD
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
measurements ^nns+nom+++=measurements
remained ^vbd+++xvbn+=remained
within ^in++++=within
the ^ati++++=the
elastic ^jj+atrb+++=elastic
range ^nn++++=range
and ^cc++++=and
to ^to++++=to
minimize ^vbi++++=minimize
shear ^nn++++=shear
influence ^nn+nom+++=influence.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
bending ^jj+atrb++xvbg+=bending
test ^nn++++=test
lasted ^vbd+++xvbn+=lasted
approximately ^rb+down+++=approximately
five ^cd++++=five
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Flexural ^jj+atrb+++=Flexural
stiffness ^nns+nom+++=stiffness
( ^zz++++=(EI,
ei ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
N ^zz++++=N
mm ^nnu++++=mm
) ^zz++++=)
for ^in++++=for
each ^dt++++=each
segment ^nn+nom+++=segment
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
the ^ati++++=the
formula ^nn++++=formula
Ei ^np+++??+=EI
= ^zz++++==
l ^zz++++=l
48 ^cd++++=48,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
l ^zz++++=l
( ^zz++++=(mm)
mm ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
supports ^nns++++=supports
and ^cc++++=and
( ^zz++++=(N
n ^zz++++=EXTRAWORD
mm ^nnu++++=mm
) ^zz++++=)
is ^vbz+bez+vrb++=is
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
the ^ati++++=the
best ^jjt++++=best-fit
- ^zz++++=EXTRAWORD
fit ^nn++++=EXTRAWORD
regression ^nn++++=regression
of ^in++++=of
the ^ati++++=the
displacement ^nn+nom+++=displacement-force
- ^zz++++=EXTRAWORD
force ^nn++++=EXTRAWORD
curve ^nn++++=curve
( ^zz++++=(R
r ^zz++++=EXTRAWORD
> ^zz++++=>
0.98 ^nn+++??+=0.98).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
axial ^jj++++=axial
second ^od++++=second
moment ^nn++++=moment
of ^in++++=of
area ^nn++++=area
( ^zz++++=(I,
i ^pp1a+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
mm ^nnu++++=mm
) ^zz++++=)
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
using ^vbg+++xvbg+=using
diameter ^nn+nom+++=diameter
measurements ^nns+nom+++=measurements
at ^in++++=at
three ^cd++++=three
positions ^nns+nom+++=positions
along ^in++++=along
each ^dt++++=each
segment ^nn+nom+++=segment
( ^zz++++=(midpoint
midpoint ^jj+++xvbn+=EXTRAWORD
and ^cc++++=and
approximately ^rb+down+++=approximately
15 ^cd++++=15
mm ^nnu++++=mm
from ^in++++=from
each ^dt++++=each
end ^nn++++=end),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
approximating ^vbg+++xvbg+=approximating
the ^ati++++=the
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
shape ^nn++++=shape
as ^ql++++=as
an ^at++++=an
ellipse ^nn+++??+=ellipse
with ^in++++=with
the ^ati++++=the
formula ^nn++++=formula
I ^pp1a+pp1+++=I
= ^zz++++==
a ^at++++=a
b ^zz++++=b
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
( ^zz++++=(mm)
mm ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
vertical ^jj+atrb+++=vertical
radial ^jj+atrb+++=radial
diameter ^nn+nom+++=diameter
and ^cc++++=and
b ^zz++++=b
( ^zz++++=(mm)
mm ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
diameter ^nn+nom+++=diameter
perpendicular ^nn++++=perpendicular
to ^in++++=to
the ^ati++++=the
applied ^jj+atrb++xvbn+=applied
force ^nn++++=force.
. ^zz++++=EXTRAWORD
Structural ^jj+atrb+++=Structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
( ^zz++++=(E,
e ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
Mn ^np+++??+=MN
m ^zz++++=m
) ^zz++++=)
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
Ei ^np+++??+=EI
I ^pp1a+pp1+++=I
for ^in++++=for
each ^dt++++=each
sample ^nn++++=sample
at ^rb++++=at
each ^dt++++=each
sampling ^nn+nom+++=sampling
time ^nn++++=time
( ^zz++++=(every
every ^at++++=EXTRAWORD
4 ^zz++++=4
hours ^nns++++=hours),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
total ^nn++++=total
of ^in++++=of
13 ^cd++++=13
measurements ^nns+nom+++=measurements
per ^nnu++++=per
stem ^nn++++=stem
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
