Legacy ^nn++++=Legacy
Indigenous ^jj+atrb+++=Indigenous
participants ^nns+nom+++=participants
and ^cc++++=and
volunteer ^nn+nom+++=volunteer
linguists ^nns+nom+++=linguists
in ^in++++=in
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
of ^in++++=of
archival ^jj+atrb+++=archival
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
originate ^nn+nom+++=originate
from ^in++++=from
the ^ati++++=the
early ^jj++++=early
twentieth ^od++++=twentieth
century ^nn++++=century.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
model ^nn++++=model
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
successfully ^rb++splt++=successfully
implemented ^vpsv++agls+xvbn+=implemented
in ^in++++=in
other ^ap++++=other
regions ^nns++++=regions
( ^zz++++=(Baldwin,
baldwin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
P ^zz++++=P
rez ^nn+++??+=rez
B ^zz++++=B
ez ^nn+++??+=ez,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hinton ^np+++??+=Hinton,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
worthwhile ^jj+pred+++=worthwhile
to ^to++++=to
consider ^nn+nom+++=consider
whether ^cs+who+++=whether
a ^at++++=a
similar ^jj+atrb+++=similar
initiative ^nn++++=initiative
in ^in++++=in
Brazil ^np++++=Brazil
Could ^md+pos+++=could
Enhance ^nn+nom+++=enhance
The ^ati++++=the
Accessibility ^nn+nom+++=accessibility
Of ^in++++=of
Existing ^jj+atrb+++=existing
Language ^nn+nom+++=language
Materials ^nns+nom+++=materials.
 ^zz++++=EXTRAWORD
