While ^cs+sub+++=While
Northern ^np++++=Northern
Ireland ^np++++=Ireland
on ^in++++=on
December ^nr+nom+++=December
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
led ^vbd+++xvbn+=led
to ^in++++=to
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
s ^zz++++=s
political ^jj+atrb+++=political
economy ^nn++++=economy
and ^cc++++=and
attracted ^vprf+++xvbn+=attracted
inward ^jjb+atrb+++=inward
investment ^nn+nom+++=investment
in ^in++++=in
infrastructure ^nn+++??+=infrastructure;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
accession ^nn++++=accession
of ^in++++=of
several ^ap++++=several
Eastern ^jj++++=Eastern
European ^jj++++=European
and ^cc++++=and
Baltic ^np+++??+=Baltic
states ^np++++=states
to ^in++++=to
the ^ati++++=the
European ^jj+atrb+++=European
Union ^nn++++=Union
from ^in++++=from
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
facilitated ^vbd+++xvbn+=facilitated
labour ^nn++++=labour
migration ^nn+nom+++=migration
from ^in++++=from
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
Poland ^np++++=Poland
and ^cc++++=and
Lithuania ^np+++??+=Lithuania
to ^in++++=to
both ^abx++++=both
the ^ati++++=the
Republic ^nn++++=Republic
of ^in++++=of
Ireland ^np++++=Ireland
and ^cc++++=and
Northern ^np++++=Northern
Ireland ^np++++=Ireland
( ^zz++++=(Corrigan
corrigan ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Doyle ^np+++??+=Doyle
& ^zz++++=&
Mcareavey ^np+++??+=McAreavey,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
United ^np++++=United
Kingdom ^nn+nom+++=Kingdom
s ^zz++++=s
exit ^nn++++=exit
from ^in++++=from
the ^ati++++=the
European ^jj+atrb+++=European
Union ^nn++++=Union
on ^in++++=on
31 ^cd++++=31
January ^nr+nom+++=January
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
migration ^nn+nom+++=migration
from ^in++++=from
the ^ati++++=the
European ^jj+atrb+++=European
Union ^nn++++=Union
To ^in++++=to
Northern ^jj+atrb+++=Northern
Ireland ^np++++=Ireland
Has ^vbz+hvz+aux++=has
Been ^vprf+ben+vrb+xvbn+=been
Significantly ^rb++++=significantly
Restricted ^jj+pred+++=restricted.
 ^zz++++=EXTRAWORD
