Nearly ^rb+down+++=Nearly
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
application ^nn+nom+++=application
of ^in++++=of
Ict ^np+++??+=ICT
in ^in++++=in
needs ^nns++++=needs
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
target ^nn++++=target
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
received ^vprf+++xvbnx+=received
comparatively ^rb++++=comparatively
less ^rbr++++=less
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
In ^in++++=In
examining ^xvbg+++xvbg+=examining
students ^nns++++=students
future ^jjb+atrb+++=future
communicative ^jj+atrb+++=communicative
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
technology ^nn++++=technology
has ^vbz+hvz+aux++=has
predominantly ^rb++splt++=predominantly
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
investigate ^nn+nom+++=investigate
linguistic ^jj++++=linguistic
( ^zz++++=(Ha
ha ^uh++++=EXTRAWORD
& ^zz++++=&
Hyland ^np+++??+=Hyland,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
and ^cc++++=and
textual ^jj++++=textual
( ^zz++++=(Supatranont,
supatranont ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
features ^nns++++=features
of ^in++++=of
specialized ^jj+atrb++xvbn+=specialized
discourse ^nn++++=discourse.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
aims ^vb++++=aims
to ^to+vcmp+++=to
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
advantages ^nns+nom+++=advantages
of ^in++++=of
utilizing ^xvbg+++xvbg+=utilizing
Ict ^np+++??+=ICT
to ^to++++=to
examine ^vbi++++=examine
contextual ^jj+atrb+++=contextual
features ^nns++++=features
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use
in ^in++++=in
the ^ati++++=the
target ^nn++++=target
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
