Not ^xnot++not++=Not
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
developed ^vbd+++xvbnx+=developed
political ^jj++++=political,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cultural ^jj+atrb+++=cultural
structures ^nns++++=structures
influenced ^vwbn+++xvbn+=influenced
by ^in++++=by
African ^jj+atrb+++=African
traditions ^nns+nom+++=traditions
( ^zz++++=(Gomes,
gomes ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
prominent ^jj++++=prominent
of ^in++++=of
these ^dt+pdem+++=these
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Quilombo ^np+++??+=Quilombo
of ^in++++=of
Palmares ^np+++??+=Palmares,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
housed ^vprf+++xvbnx+=housed
between ^in++++=between
6,000 ^cd++++=6,000
and ^cc++++=and
30,000 ^cd++++=30,000
individuals ^nns+nom+++=individuals
( ^zz++++=(Marquese,
marquese ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006)
) ^zz++++=EXTRAWORD
and ^cc++++=and
successfully ^rb++++=successfully
resisted ^vbd+++xvbn+=resisted
external ^jj+atrb+++=external
attempts ^nns++++=attempts
at ^rb++++=at
subjugation ^nn+nom+++=subjugation
for ^in++++=for
an ^at++++=an
extended ^jj+atrb++xvbn+=extended
period ^nn++++=period.
. ^zz++++=EXTRAWORD
On ^in++++=On
agricultural ^jj+atrb+++=agricultural
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
enslaved ^jj+atrb++xvbn+=enslaved
people ^nns++++=people
were ^vbd+bed+aux++=were
typically ^rb++splt++=typically
awakened ^vpsv++by+xvbnx+=awakened
by ^in++++=by
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
bell ^nn++++=bell
and ^cc++++=and
escorted ^vpsv++by+xvbn+=escorted
by ^in++++=by
landowners ^nns+nom+++=landowners
to ^in++++=to
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
worked ^vbd+++xvbnx+=worked
until ^in++++=until
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
corporal ^npt+nom+++=corporal
punishment ^nn+nom+++=punishment
for ^in++++=for
minor ^jj+atrb+++=minor
infractions ^nns+nom+++=infractions,
, ^zz++++=EXTRAWORD
including ^in++++=including
whipping ^xvbg+++xvbg+=whipping,
, ^zz++++=EXTRAWORD
branding ^nn++++=branding,
, ^zz++++=EXTRAWORD
mutilation ^nn+nom+++=mutilation,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
forms ^nns++++=forms
of ^in++++=of
torture ^nn++++=torture,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
highly ^rb+amp+++=highly
systematic ^jj+pred+++=systematic
and ^cc+phrs+++=and
severe ^jj++++=severe
( ^zz++++=(Aidoo,
aidoo ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
