Cleaning ^nvbg+++xvbg+=Cleaning
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
no ^at++++=no
significant ^jj+atrb+++=significant
correlation ^nn+nom+++=correlation
between ^in++++=between
species ^nn++++=species
centrality ^nn+nom+++=centrality
in ^in++++=in
the ^ati++++=the
networks ^nns++++=networks
and ^cc++++=and
their ^pp$+pp3+++=their
diet ^nn++++=diet
diversity ^nn+nom+++=diversity.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
while ^cs+sub+++=while
dietary ^jj+atrb+++=dietary
generalism ^nn+nom+++=generalism
may ^md+pos+++=may
enable ^vb++++=enable
opportunistic ^jj+atrb+++=opportunistic
species ^nns++++=species
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prominence ^nn+nom+++=prominence
of ^in++++=of
a ^at++++=a
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species
within ^in++++=within
the ^ati++++=the
network ^nn++++=network
is ^vbz+bez+aux++=is
likely ^jj+pred+++=likely
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
additional ^jj+atrb+++=additional
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
abundance ^nn+nom+++=abundance
and ^cc++++=and
behavioral ^jj+atrb+++=behavioral
traits ^nns++++=traits
related ^vbd+++xvbn+=related
to ^to++++=to
cleaning ^vbg+++xvbg+=cleaning.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
broadly ^rb+cnj+++=broadly,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
traits ^nns++++=traits
facilitating ^vwbg+++xvbg+=facilitating
species ^nn++++=species
participation ^nn+nom+++=participation
in ^in++++=in
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks
may ^md+pos+++=may
differ ^vb++++=differ
from ^in++++=from
those ^dt+dem+++=those
determining ^vbg+++xvbg+=determining
their ^pp$+pp3+++=their
functional ^jj+atrb+++=functional
roles ^nns++++=roles
within ^in++++=within
these ^dt+dem+++=these
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
