Heterogeneity ^np+nom++??+=Heterogeneity
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
does ^vbz+doz+aux++=does
not ^xnot++not++=not
interfere ^vb++++=interfere
with ^in++++=with
genome ^nn+++??+=genome
assembly ^nn++++=assembly
or ^cc++++=or
polishing ^nvbg+++xvbg+=polishing,
, ^zz++++=EXTRAWORD
as ^in++++=as
assembly ^nn++++=assembly
algorithms ^nns+++??+=algorithms
generally ^rb+down+++=generally
favor ^nn++++=favor
the ^ati++++=the
predominant ^jj+atrb+++=predominant
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
balanced ^jj+atrb++xvbn+=balanced
heterogeneity ^nn+nom+++=heterogeneity,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
50:50 ^cd++++=50:50
mixture ^nn++++=mixture
of ^in++++=of
alternatives ^nns++++=alternatives,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
lead ^vb++++=lead
to ^in++++=to
misassemblies ^nns+++??+=misassemblies
and ^cc++++=and
errors ^nns++++=errors
during ^in++++=during
polishing ^xvbg+++xvbg+=polishing.
. ^zz++++=EXTRAWORD
In ^in++++=In
Enterobacteriaceae ^np+++??+=Enterobacteriaceae,
, ^zz++++=EXTRAWORD
phase ^nn++++=phase
variation ^nn+nom+++=variation
of ^in++++=of
the ^ati++++=the
fim ^nn+++??+=fim
switch ^nn++++=switch
is ^vbz+bez+vrb++=is
a ^at++++=a
known ^jj+atrb++xvbn+=known
source ^nn++++=source
of ^in++++=of
heterogeneity ^nn+nom+++=heterogeneity
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2e ^cd++++=2E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
frequent ^jj+atrb+++=frequent
example ^nn++++=example
involves ^vbz++++=involves
bacteriophages ^nns+nom+++=bacteriophages,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
integrate ^nn+nom+++=integrate
into ^in++++=into
and ^cc++++=and
excise ^nn++++=excise
from ^in++++=from
bacterial ^jj+atrb+++=bacterial
chromosomes ^nns+++??+=chromosomes
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2f ^cd++++=2F).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Indicators ^nns++++=Indicators
of ^in++++=of
heterogeneity ^nn+nom+++=heterogeneity
include ^vb++++=include
incomplete ^jj+atrb+++=incomplete
assembly ^nn++++=assembly
graphs ^nns++++=graphs
and ^cc++++=and
regions ^nns++++=regions
with ^in++++=with
dense ^jj+atrb+++=dense
clusters ^nns+nom+++=clusters
of ^in++++=of
changes ^nn++++=changes
introduced ^vwbn+++xvbn+=introduced
by ^in++++=by
polishing ^xvbg+++xvbg+=polishing
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
manually ^rb++splt++=manually
exclude ^vbi++++=exclude
reads ^vbz++++=reads
supporting ^jj+atrb++xvbg+=supporting
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
alternatives ^nns++++=alternatives
to ^to++++=to
enable ^vbi++++=enable
accurate ^jj+atrb+++=accurate
assembly ^nn++++=assembly
and ^cc++++=and
polishing ^nn++++=polishing
of ^in++++=of
the ^ati++++=the
remaining ^jj+atrb+++=remaining
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
