Informed ^jj+atrb++xvbn+=Informed
truly ^rb++++=truly
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
can ^md+pos+++=can
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained
if ^cs+cnd+++=if
participants ^nns+nom+++=participants
or ^cc++++=or
their ^pp$+pp3+++=their
communities ^nns+nom+++=communities
have ^vb+hv+aux++=have
never ^rb++splt++=never
encountered ^vprf+++xvbnx+=encountered
a ^at++++=a
computer ^nn+nom+++=computer,
, ^zz++++=EXTRAWORD
an ^at++++=an
archive ^nn++++=archive,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
Internet ^np+++??+=Internet.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
additional ^jj+atrb+++=additional
issues ^nns++++=issues
are ^vb+ber+vrb++=are
relevant ^jj+pred+++=relevant
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
research ^nn++++=research
is ^vbz+bez+vrb++=is
inherently ^rb++++=inherently
open ^jj+pred+++=open-ended;
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
corpora ^nn+++??+=corpora
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
collected ^vpsv++agls+xvbnx+=collected
to ^in++++=to
address ^nns+nom+++=address
specific ^jj+atrb+++=specific
research ^nn++++=research
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
may ^md+pos+++=may
generate ^nn+nom+++=generate
new ^jj+atrb+++=new
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
altering ^vbg+++xvbg+=altering
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
project ^nn++++=project.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
raises ^vbz++++=raises
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
whether ^cs+who+++=whether
initial ^jj+atrb+++=initial
consent ^nn++++=consent
remains ^nns++++=remains
valid ^jj++++=valid
if ^cs+cnd+++=if
project ^nn++++=project
goals ^nns++++=goals
evolve ^vb++++=evolve
or ^cc++++=or
new ^jj+atrb+++=new
research ^nn++++=research
directions ^nns+nom+++=directions
emerge ^vb++++=emerge,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
given ^vprf+++xvbn+=given
that ^dt+pdem+++=that
archived ^vbd+++xvbn+=archived
data ^nns++++=data
may ^md+pos+++=may
be ^vb+be+aux++=be
reused ^vpsv++by+xvbnx+=reused
by ^in++++=by
others ^aps++++=others
in ^in++++=in
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
generations ^nns+nom+++=generations
and ^cc++++=and
communities ^nns+nom+++=communities
may ^md+pos+++=may
require ^vb+vsua+++=require
access ^nn++++=access
to ^in++++=to
these ^dt+dem+++=these
materials ^nns+nom+++=materials
for ^in++++=for
language ^nn+nom+++=language
revitalization ^nn+nom+++=revitalization,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
by ^in++++=by
Bomfim ^np+++??+=Bomfim
( ^zz++++=(2017).
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
section ^nn+nom+++=section
illustrates ^nns+nom+++=illustrates
these ^dt+pdem+++=these
challenges ^vbz++++=challenges
and ^cc++++=and
outlines ^nns++++=outlines
one ^cd1++++=one
possible ^jj+atrb+++=possible
approach ^nn++++=approach
to ^to++++=to
addressing ^vbi++++=addressing
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
concerns ^nns++++=concerns.
. ^zz++++=EXTRAWORD
