Previous ^jj+atrb+++=Previous
dormancy ^nn+++??+=dormancy;
; ^zz++++=EXTRAWORD
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
water ^nn++++=water
pretreatments ^nns+nom+++=pretreatments
on ^in++++=on
the ^ati++++=the
germination ^nn+nom+++=germination
of ^in++++=of
caranday ^nn+++??+=caranday
pyrenes ^nns+++??+=pyrenes;
; ^zz++++=EXTRAWORD
( ^zz++++=(iii)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
how ^wrb+who+++=how
can ^md+pos+++=can
the ^ati++++=the
germination ^nn+nom+++=germination
behavior ^nn++++=behavior
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbnx+=classified
after ^in++++=after
one ^cd1++++=one
year ^nn++++=year
of ^in++++=of
storage ^nn+nom+++=storage;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(iv)
iv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
water ^nn++++=water
immersion ^nn++++=immersion
pretreatments ^nns+nom+++=pretreatments
enhance ^nn+nom+++=enhance
or ^cc+phrs+++=or
reduce ^vb++++=reduce
the ^ati++++=the
germination ^nn+nom+++=germination
of ^in++++=of
stored ^xvbn+++xvbn+=stored
seeds ^nns++++=seeds?
? ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
thick ^jj+atrb+++=thick
endocarp ^nn+++??+=endocarp
may ^md+pos+++=may
impede ^vb+++??+=impede
germination ^nn+nom+++=germination,
, ^zz++++=EXTRAWORD
water ^nn++++=water
immersion ^nn++++=immersion
treatments ^nns+nom+++=treatments
were ^vbd+bed+aux++=were
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
improve ^vbi++++=improve
germination ^nn+nom+++=germination
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
anticipated ^vpsv++agls+xvbnx+=anticipated
that ^tht+vcmp+++=that
seed ^nn++++=seed
viability ^nn+nom+++=viability
could ^md+pos+++=could
decrease ^vb++++=decrease
following ^jj++++=following
a ^at++++=a
prolonged ^jj+atrb+++=prolonged
storage ^nn+nom+++=storage
period ^nn++++=period.
. ^zz++++=EXTRAWORD
