Regarding ^in++++=Regarding
production ^nn+nom+++=production
of ^in++++=of
new ^jj+atrb+++=new
sprouts ^nns++++=sprouts
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
abiotic ^nn++++=abiotic
stress ^vb+vpub+++=stress
associated ^vbd+++xvbn+=associated
with ^in++++=with
adaptation ^nn+nom+++=adaptation
to ^in++++=to
new ^jj+atrb+++=new
fixation ^nn+nom+++=fixation
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
on ^in++++=on
phorophytes ^nns+++??+=phorophytes
or ^cc++++=or
on ^in++++=on
the ^ati++++=the
forest ^nn++++=forest
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Jasper ^np+++??+=Jasper
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
new ^jj+atrb+++=new
roots ^nns++++=roots
originating ^vwbg+++xvbg+=originating
from ^in++++=from
shoots ^nns++++=shoots
may ^md+pos+++=may
facilitate ^nn+nom+++=facilitate
attachment ^nn+nom+++=attachment
to ^in++++=to
the ^ati++++=the
phorophyte ^nn+++??+=phorophyte,
, ^zz++++=EXTRAWORD
with ^in++++=with
root ^nn++++=root
development ^nn+nom+++=development
occurring ^vwbg+++xvbg+=occurring
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
within ^in++++=within
six ^cd++++=six
to ^to++++=to
twelve ^cd++++=twelve
months ^nns++++=months
after ^in++++=after
transplantation ^nn+nom+++=transplantation.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
root ^nn++++=root
system ^nn++++=system
development ^nn+nom+++=development
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
assessed ^vbd+++xvbn+=assessed
to ^to++++=to
avoid ^vbi++++=avoid
potential ^jj+atrb+++=potential
physical ^jj+atrb+++=physical
damage ^nn++++=damage
to ^in++++=to
young ^jj+atrb+++=young
roots ^nns++++=roots
that ^tht+rel+subj++=that
could ^md+pos+++=could
result ^vb++++=result
from ^in++++=from
removing ^xvbg+++xvbg+=removing
specimens ^nns++++=specimens
from ^in++++=from
their ^pp$+pp3+++=their
relocation ^nn+nom+++=relocation
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn+nom+++=significance
of ^in++++=of
root ^nn++++=root
development ^nn+nom+++=development
for ^in++++=for
epiphyte ^nn+++??+=epiphyte
attachment ^nn+nom+++=attachment
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
highlighted ^vpsv++by+xvbnx+=highlighted
by ^in++++=by
Jasper ^np+++??+=Jasper
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
observed ^vbn+vprv++xvbn+=observed
high ^np++++=high
mortality ^nn+nom+++=mortality
rates ^nns++++=rates
in ^in++++=in
Vriesea ^np+++??+=Vriesea
friburgensis ^nns+++??+=friburgensis
Mez ^np+++??+=Mez
due ^jj++++=due
to ^in+jcmp+++=to
inadequate ^jj+atrb+++=inadequate
attachment ^nn+nom+++=attachment
to ^in++++=to
the ^ati++++=the
phorophyte ^nn+++??+=phorophyte.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Barrancos ^np+++??+=Barrancos
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrated ^vprf+++xvbn+=demonstrated
that ^tht+vcmp+++=that
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
new ^jj+atrb+++=new
roots ^nns++++=roots
anchoring ^vwbg+++xvbg+=anchoring
the ^ati++++=the
trunk ^nn++++=trunk
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
survival ^nn+nom+++=survival
of ^in++++=of
relocated ^jj+atrb+++=relocated
specimens ^nns++++=specimens.
. ^zz++++=EXTRAWORD
