Overall ^jjb++++=Overall,
nursery ^nn+nom+++=nursery
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
seeds ^nns++++=seeds
germinated ^vbd+++xvbn+=germinated
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
speed ^nn++++=speed
index ^nn++++=index,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
increased ^vpsv++by+xvbnx+=increased
by ^in++++=by
water ^nn++++=water
immersion ^nn++++=immersion
for ^in++++=for
48 ^cd++++=48
and ^cc++++=and
72 ^cd++++=72
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
freshly ^rb++++=freshly
harvested ^vwbn+++xvbn+=harvested
pyrenes ^nns+++??+=pyrenes
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2e ^cd++++=2e).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
positive ^jj+atrb+++=positive
effects ^nns++++=effects
of ^in++++=of
water ^nn++++=water
immersion ^nn++++=immersion
pretreatments ^nns+nom+++=pretreatments
on ^in++++=on
germination ^nn+nom+++=germination
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
Butia ^np+++??+=Butia
capitata ^nn+++??+=capitata
( ^zz++++=(Mart.)
mart ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Becc ^np+++??+=Becc.
. ^zz++++=EXTRAWORD
pyrenes ^nns+++??+=pyrenes
from ^in++++=from
the ^ati++++=the
Cerrado ^np+++??+=Cerrado
( ^zz++++=(Soares
soares ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Copernicia ^np+++??+=Copernicia
prunifera ^nn+++??+=prunifera
( ^zz++++=(Mill.)
mill ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
H.e ^np+++??+=H.E.
. ^zz++++=EXTRAWORD
Moore ^np++++=Moore
seeds ^nns++++=seeds
from ^in++++=from
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Northeast ^np+++??+=Northeast
( ^zz++++=(Reis
reis ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+aux++=are
species ^nns++++=species
associated ^vbd+++xvbn+=associated
with ^in++++=with
flooded ^jj+atrb+++=flooded
environments ^nns+nom+++=environments
and ^cc++++=and
may ^md+pos+++=may
possess ^nns+nom+++=possess
flood ^nn++++=flood-tolerant
- ^zz++++=EXTRAWORD
tolerant ^jj+atrb+++=EXTRAWORD
seedlings ^nns+nom+++=seedlings
( ^zz++++=(Arruda
arruda ^nn+++??+=EXTRAWORD
& ^zz++++=&
Calbo ^np+++??+=Calbo
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+tht0++=suggest
that ^tht+vcmp+++=that
enhanced ^vbd+++xvbn+=enhanced
germination ^nn+nom+++=germination
following ^vwbg+++xvbg+=following
water ^nn++++=water
immersion ^nn++++=immersion
may ^md+pos+++=may
improve ^vb++++=improve
the ^ati++++=the
competitive ^jj+atrb+++=competitive
performance ^nn+nom+++=performance
of ^in++++=of
these ^dt+dem+++=these
species ^nns++++=species
after ^in++++=after
flooding ^nn++++=flooding
events ^nns++++=events
in ^in++++=in
their ^pp$+pp3+++=their
natural ^jj+atrb+++=natural
habitats ^nns++++=habitats.
. ^zz++++=EXTRAWORD
