Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae,
Raddi ^np+++??+=Raddi
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
L ^zz++++=L.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
( ^zz++++=(Sw.)
sw ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Dryand ^np+++??+=Dryand.
. ^zz++++=EXTRAWORD
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
stricta ^nn+++??+=stricta
( ^zz++++=(Lindsaeaceae);
lindsaeaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saccoloma ^np+++??+=Saccoloma
elegans ^nns+nom+++=elegans
Kaulf ^np+++??+=Kaulf.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
L ^zz++++=L.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
and ^cc++++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
elegans ^nns+nom+++=elegans
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Atlantic ^np++++=Atlantic
Rainforest ^np+++??+=Rainforest,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
taxa ^nn+++??+=taxa
are ^vb+ber+aux++=are
widely ^rb++splt++=widely
distributed ^vpsv++agls+xvbnx+=distributed
throughout ^in++++=throughout
the ^ati++++=the
Neotropics ^np+++??+=Neotropics.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
other ^ap++++=other
families ^nns++++=families
previously ^rb+tm+++=previously
studied ^vbd+++xvbn+=studied
Salviniaceae ^np+++??+=Salviniaceae
( ^zz++++=(Miranda
miranda ^nn+++??+=EXTRAWORD
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Anemiaceae ^np+++??+=Anemiaceae
( ^zz++++=(Rabelo
rabelo ^nn+++??+=EXTRAWORD
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Polypodiaceae ^np+++??+=Polypodiaceae
( ^zz++++=(Gon
gon ^nn+++??+=EXTRAWORD
alves ^nns+++??+=alves
da ^np++++=da
Silva ^np+++??+=Silva
& ^zz++++=&
Schwartsburd ^np+++??+=Schwartsburd
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
relocate ^nn+nom+++=relocate
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
taxa ^nn++++=taxa
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
last ^ap++++=last
collected ^jj+++xvbn+=collected
in ^in++++=in
the ^ati++++=the
1930s ^cd+date+++=1930s.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
absence ^nn+nom+++=absence
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
local ^jj+atrb+++=local
extinction ^nn+nom+++=extinction
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
forest ^nn++++=forest
fragmentation ^nn+nom+++=fragmentation
and ^cc++++=and
disturbance ^nn+nom+++=disturbance.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
cicutaria ^nn+++??+=cicutaria,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
L ^zz++++=L.
 ^zz++++=EXTRAWORD
Quadrangularis ^nns++++=quadrangularis
Subsp ^nn++++=subsp.
 ^zz++++=EXTRAWORD
Quadrangularis ^nns++++=quadrangularis
Were ^vbd+bed+aux++=were
Not ^xnot++not++=not
Recollected ^vbd+++xvbn+=recollected.
 ^zz++++=EXTRAWORD
