As ^in++++=As
projects ^vbz++++=projects
discussed ^vbd+++xvbn+=discussed
in ^in++++=in
the ^ati++++=the
final ^jj+atrb+++=final
section ^nn+nom+++=section
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
also ^rb++++=also
Moore ^np++++=Moore
and ^cc++++=and
Galucio ^np+++??+=Galucio,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
continued ^jj+atrb++xvbn+=continued
participation ^nn+nom+++=participation
and ^cc++++=and
investment ^nn+nom+++=investment
in ^in++++=in
archiving ^xvbg+++xvbg+=archiving
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
sustain ^vbi++++=sustain
the ^ati++++=the
outcomes ^nns+++??+=outcomes
of ^in++++=of
such ^abl++++=such
documentary ^jj+atrb+++=documentary
efforts ^nns++++=efforts.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
involves ^vbz++++=involves
contributing ^vbg+++xvbg+=contributing
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expanding ^jj+atrb++xvbg+=expanding
archiving ^jj+atrb++xvbg+=archiving
initiatives ^nns++++=initiatives
at ^rb++++=at
multiple ^jj+atrb+++=multiple
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
including ^in++++=including
regional ^jj+atrb+++=regional
and ^cc+phrs+++=and
national ^jj+atrb+++=national
projects ^nns++++=projects
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Museu ^np+++??+=Museu
Goeldi ^np+++??+=Goeldi
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cs+sub+++=as
internationally ^rb++++=internationally
oriented ^jj+atrb++xvbn+=oriented
archives ^nn++++=archives
like ^in++++=like
Ailla ^np+++??+=AILLA.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
enhance ^nn+nom+++=enhance
opportunities ^nns+nom+++=opportunities
for ^in++++=for
speaker ^nn++++=speaker
and ^cc++++=and
heritage ^nn+nom+++=heritage
communities ^nns+nom+++=communities
to ^in++++=to
access ^nn++++=access
these ^dt+dem+++=these
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
both ^abx++++=both
independently ^rb++++=independently
and ^cc++++=and
in ^in++++=in
collaboration ^nn+nom+++=collaboration
with ^in++++=with
archives ^nn++++=archives.
. ^zz++++=EXTRAWORD
Linguists ^nns+nom+++=Linguists
have ^vb+hv+vrb++=have
both ^abx++++=both
a ^at++++=a
social ^jj+atrb+++=social
and ^cc+phrs+++=and
academic ^jj+atrb+++=academic
responsibility ^nn+nom+++=responsibility
to ^to+ncmp+++=to
archive ^vb++++=archive
the ^ati++++=the
materials ^nns+nom+++=materials
they ^pp3a+pp3+++=they
produce ^vb++++=produce,
, ^zz++++=EXTRAWORD
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
archiving ^jj+++xvbg+=archiving
of ^in++++=of
legacy ^nn++++=legacy
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
to ^to++++=to
maximize ^vbi++++=maximize
accessibility ^nn+nom+++=accessibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
collaborate ^nn+nom+++=collaborate
with ^in++++=with
communities ^nns+nom+++=communities
to ^to++++=to
ensure ^vbi+vprv+++=ensure
ethical ^jj+atrb+++=ethical
practices ^nns++++=practices
throughout ^in++++=throughout
the ^ati++++=the
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
