Regarding ^in++++=Regarding
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
Puerto ^np+++??+=Puerto
Rico ^np+++??+=Rico,
, ^zz++++=EXTRAWORD
Dominican ^np+nom++??+=Dominican
Republic ^nn++++=Republic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Uruguay ^np+++??+=Uruguay
( ^zz++++=(2000),
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia
( ^zz++++=(2001),
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Panama ^np++++=Panama
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
journal ^nn++++=journal
in ^in++++=in
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences
and ^cc++++=and
Humanities ^nns+nom+++=Humanities
represented ^vbd+++xvbn+=represented
in ^in++++=in
the ^ati++++=the
database ^nn+++??+=database
is ^vbz+bez+vrb++=is
Revista ^np+++??+=Revista
de ^&fw++++=de
Administra ^np+++??+=Administra
o ^zz++++=o
de ^&fw++++=de
Empresas ^np+++??+=Empresas
( ^zz++++=(1961),
1961 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vbd+vprv++xvbn+=followed
by ^in++++=by
revista ^np++++=Revista
latinoamericana ^np++++=Latinoamericana
de ^&fw++++=de
psicolog ^np++++=Psicolog
a ^at++++=a
( ^zz++++=(1969).
1969 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
