On ^in++++=On
; ^zz++++=EXTRAWORD
P ^zz++++=P
= ^zz++++==
0.001 ^nn+++??+=0.001;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3;
; ^zz++++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Material ^nn++++=Material
Table ^nn++++=Table
S3 ^np+++??+=S3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
at ^rb++++=at
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
moisture ^nn++++=moisture
content ^nn++++=content,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
in ^in++++=in
A ^at++++=A.
. ^zz++++=EXTRAWORD
crucigerum ^nn+++??+=crucigerum
stems ^nns++++=stems
is ^vbz+bez+vrb++=is
4500 ^cd++++=4500
Mn ^np+++??+=MN
m ^zz++++=m
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
at ^in++++=at
24 ^cd++++=24%
% ^zz++++=EXTRAWORD
moisture ^nn++++=moisture
content ^nn++++=content,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
4400 ^cd++++=4400
Mn ^np+++??+=MN
m ^zz++++=m
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
a ^at++++=a
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
reduction ^nn+nom+++=reduction
in ^in++++=in
bending ^xvbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
after ^in++++=after
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
in ^in++++=in
stems ^nns++++=stems
under ^in++++=under
gradual ^jj+atrb+++=gradual
dehydration ^nn+nom+++=dehydration
is ^vbz+bez+vrb++=is
approximately ^rb+down+++=approximately
4034 ^cd++++=4034
Mn ^np+++??+=MN
m ^zz++++=m
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
value ^nn++++=value
is ^vbz+bez+aux++=is
maintained ^vpsv++agls+xvbnx+=maintained
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
12 ^cd++++=12
hours ^nns++++=hours
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2b ^cd++++=2b)
) ^zz++++=EXTRAWORD
and ^cc++++=and
up ^rp++++=up
to ^to++++=to
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
moisture ^nn++++=moisture
content ^nn++++=content
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3a ^cd++++=3a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
