Infrastructure ^np+++??+=Infrastructure
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
into ^in++++=into
the ^ati++++=the
latter ^ap++++=latter
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
decade ^nn++++=decade
with ^in++++=with
support ^nn++++=support
from ^in++++=from
Usaid ^np+++??+=USAID,
, ^zz++++=EXTRAWORD
Unesco ^np+++??+=UNESCO,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Ambassador ^npt++++=Ambassador
s ^zz++++=s
Fund ^nn++++=Fund
( ^zz++++=(US
us ^pp1o+pp1+++=EXTRAWORD
Embassy ^nn++++=Embassy).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
Technology ^nn++++=Technology
and ^cc++++=and
Innovation ^nn+nom+++=Innovation
( ^zz++++=(MCTI)
mcti ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
supplied ^vbd+++xvbn+=supplied
further ^jjb+atrb+++=further
equipment ^nn+nom+++=equipment,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
server ^nn++++=server
to ^to++++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
digital ^jj+atrb+++=digital
repository ^nn++++=repository.
. ^zz++++=EXTRAWORD
Documentation ^np+nom++??+=Documentation
and ^cc++++=and
research ^nn++++=research
projects ^vbz++++=projects
persisted ^vprf+++xvbn+=persisted
in ^in++++=in
the ^ati++++=the
second ^od++++=second
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
2000s ^cd++++=2000s
with ^in++++=with
continued ^vbd+++xvbn+=continued
support ^nn++++=support
from ^in++++=from
Cnpq ^np+++??+=CNPq,
, ^zz++++=EXTRAWORD
Dobes ^np+++??+=DOBES,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Eldp ^np+++??+=ELDP.
. ^zz++++=EXTRAWORD
In ^in++++=In
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
advancements ^nns+nom+++=advancements
faced ^vwbn+++xvbn+=faced
significant ^jj+atrb+++=significant
opposition ^nn+nom+++=opposition
from ^in++++=from
a ^at++++=a
small ^jj+atrb+++=small
group ^nn++++=group
of ^in++++=of
linguists ^nns+nom+++=linguists
who ^whp+rel+subj++=who
criticized ^vprf+++xvbn+=criticized
the ^ati++++=the
Prodoclin ^np+++??+=ProDocLin
Museum ^np++++=Museum's
's ^$++++=EXTRAWORD
linguistic ^jj+atrb+++=linguistic
documentation ^nn+nom+++=documentation
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
international ^jj+atrb+++=international
documentation ^nn+nom+++=documentation
initiatives ^nns++++=initiatives
and ^cc++++=and
digital ^jj+atrb+++=digital
archives ^nn++++=archives
( ^zz++++=(Moore
moore ^np++++=EXTRAWORD
and ^cc++++=and
Galucio ^np+++??+=Galucio,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
40 ^cd++++=40).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
opposition ^nn+nom+++=opposition
did ^vbd+dod+aux++=did
not ^xnot++not++=not
gain ^vb++++=gain
traction ^nn+nom+++=traction
among ^in++++=among
Brazilian ^jj+atrb+++=Brazilian
linguists ^nns+nom+++=linguists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
progress ^nns+nom+++=progress
continued ^vbd+++xvbn+=continued
at ^rb++++=at
both ^abx++++=both
the ^ati++++=the
goeldi ^np++++=Goeldi
museum ^nn++++=Museum
and ^cc++++=and
nationally ^rb++++=nationally.
. ^zz++++=EXTRAWORD
