Some ^dti++++=Some
club ^nn++++=club
contributed ^vbd+++xvbn+=contributed
10 ^cd++++=10
per ^in++++=per
month ^nn++++=month
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
club ^nn++++=club
s ^zz++++=s
operations ^nns+nom+++=operations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manager ^nn++++=manager
also ^rb++++=also
observed ^jj+++xvbn+=observed,
, ^zz++++=EXTRAWORD
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
football ^nn++++=football
clubs ^nns++++=clubs
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
increasingly ^rb++++=increasingly
important ^jj++++=important
for ^in++++=for
community ^nn+nom+++=community
cohesion ^nn++++=cohesion
and ^cc++++=and
had ^vbd+hvd+aux++=had
achieved ^vprf+++xvbnx+=achieved
a ^at++++=a
higher ^jjr+atrb+++=higher
level ^nn++++=level
of ^in++++=of
organisation ^nn+nom+++=organisation
in ^in++++=in
recent ^jj+atrb+++=recent
years ^nns++++=years
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
mfb ^np++++=MFB,
, ^zz++++=EXTRAWORD
june ^nr++++=June
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
