Teachers ^nns+nom+++=Teachers
, ^zz++++=EXTRAWORD
Sheppes ^np+++??+=Sheppes,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn+nom+++=evidence
also ^rb++++=also
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
process ^nns+nom+++=process
is ^vbz+bez+vrb++=is
cyclical ^jj+pred+++=cyclical,
, ^zz++++=EXTRAWORD
dynamic ^jj++++=dynamic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
context ^nn++++=context-dependent,
- ^zz++++=EXTRAWORD
dependent ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
utilize ^vb++++=utilize
a ^at++++=a
sequence ^nn+nom+++=sequence
of ^in++++=of
strategies ^nns+++??+=strategies
to ^to++++=to
manage ^vbi++++=manage
emotional ^jj+atrb+++=emotional
modulation ^nn+nom+++=modulation,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
Process ^nns+nom+++=Process
Model ^nn++++=Model
of ^in++++=of
Emotion ^nn+nom+++=Emotion
Regulation ^nn+nom+++=Regulation
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
professional ^jj+atrb+++=professional
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
area ^nn++++=area
of ^in++++=of
expertise ^nn++++=expertise
and ^cc++++=and
career ^nn++++=career
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
situational ^jj+atrb+++=situational
demands ^nns++++=demands
( ^zz++++=(Sheppes,
sheppes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
english ^jj++++=English
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
