These ^dt+dem+++=These
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
For ^in++++=For
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
nine ^cd++++=nine
countries ^nns++++=countries
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
Panama ^np++++=Panama,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
no ^at++++=no
relevant ^jj+atrb+++=relevant
journals ^nns+nom+++=journals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
single ^jj++++=single-authored
- ^zz++++=EXTRAWORD
authored ^jj+atrb++xvbn+=EXTRAWORD
articles ^nns++++=articles
ranges ^nns++++=ranges
from ^in++++=from
53.8 ^cd++++=53.8%
% ^zz++++=EXTRAWORD
in ^in++++=in
Colombia ^np+++??+=Colombia
to ^to++++=to
62.4 ^cd++++=62.4%
% ^zz++++=EXTRAWORD
in ^in++++=in
Mexico ^np++++=Mexico.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
humanities ^nns+nom+++=humanities,
, ^zz++++=EXTRAWORD
differences ^nns+nom+++=differences
between ^in++++=between
countries ^nns++++=countries
are ^vb+ber+aux++=are
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
less ^rbr++splt++=less
pronounced ^vpsv++agls+xvbnx+=pronounced.
. ^zz++++=EXTRAWORD
In ^in++++=In
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
64.2 ^cd++++=64.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
in ^in++++=in
humanities ^nns+nom+++=humanities
journals ^nns+nom+++=journals
are ^vb+ber+vrb++=are
single ^jj+pred+++=single-authored,
- ^zz++++=EXTRAWORD
authored ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
Brazil ^np++++=Brazil
the ^ati++++=the
figure ^nn++++=figure
is ^vbz+bez+vrb++=is
70 ^cd++++=70%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
closely ^rb++++=closely
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
Uruguay ^np+++??+=Uruguay
at ^in++++=at
70.1 ^cd++++=70.1%
% ^zz++++=EXTRAWORD
and ^cc++++=and
Chile ^np+++??+=Chile
at ^in++++=at
73.6 ^cd++++=73.6%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
Argentina ^np++++=Argentina,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
exceeds ^vbz++++=exceeds
80 ^cd++++=80%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
Mexico ^np++++=Mexico
and ^cc++++=and
Costa ^np++++=Costa
Rica ^np+++??+=Rica,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rates ^nns++++=rates
are ^vb+ber+vrb++=are
87.6 ^cd++++=87.6%
% ^zz++++=EXTRAWORD
and ^cc++++=and
89.2 ^cd++++=89.2%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
