Cognitive ^np+++??+=Cognitive
mitigate ^nn+nom+++=mitigate
persistent ^jj+atrb+++=persistent
disparities ^nns+nom+++=disparities
in ^in++++=in
academic ^jj+atrb+++=academic
achievement ^nn+nom+++=achievement,
, ^zz++++=EXTRAWORD
socioeconomic ^jj+atrb+++=socioeconomic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
mobility ^nn+nom+++=mobility.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
this ^dt+dem+++=this
need ^nn++++=need,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
culturally ^rb++++=culturally
validated ^jj+atrb++xvbn+=validated
assessment ^nn+nom+++=assessment
instruments ^nns+nom+++=instruments
for ^in++++=for
cognitive ^jj+atrb+++=cognitive
development ^nn+nom+++=development
in ^in++++=in
Latin ^jj+atrb+++=Latin
America ^np++++=America.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
addresses ^nns+nom+++=addresses
this ^dt+dem+++=this
gap ^nn++++=gap
by ^in++++=by
focusing ^nn++++=focusing
on ^in++++=on
the ^ati++++=the
Cuban ^jj+atrb+++=Cuban
context ^nn++++=context,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
promotion ^nn+nom+++=promotion
of ^in++++=of
optimal ^jj+atrb+++=optimal
cognitive ^nn++++=cognitive
development ^nn+nom+++=development
in ^in++++=in
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood
is ^vbz+bez+vrb++=is
a ^at++++=a
priority ^nn+nom+++=priority
for ^in++++=for
both ^abx++++=both
educators ^nns++++=educators
and ^cc++++=and
researchers ^nns+nom+++=researchers.
. ^zz++++=EXTRAWORD
