Consistent ^jj++++=Consistent
and ^cc+phrs+++=and
pedagogical ^jj+atrb+++=pedagogical
demands ^nns++++=demands
were ^vbd+bed+aux++=were
also ^rb++splt++=also
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
generally ^rb+down+++=generally
less ^rbr++++=less
intense ^jj+atrb+++=intense
and ^cc+phrs+++=and
included ^jj+atrb++xvbn+=included
feelings ^nns+nom+++=feelings
such ^abl++++=such
as ^ql++++=as
frustration ^nn+nom+++=frustration,
, ^zz++++=EXTRAWORD
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
helplessness ^nns+nom+++=helplessness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anguish ^nn++++=anguish.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
reported ^vbd+vpub++xvbn+=reported
regulating ^vbg+++xvbg+=regulating
frustration ^nn+nom+++=frustration
that ^tht+rel+subj++=that
stemmed ^vbd+++xvbn+=stemmed
from ^in+ppvb+++=from
intrapersonal ^jj+atrb+++=intrapersonal
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
including ^in++++=including
internal ^jj+atrb+++=internal
conflicts ^nns++++=conflicts
and ^cc++++=and
dissatisfaction ^nn+nom+++=dissatisfaction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
of ^in++++=of
Taxer ^np+++??+=Taxer
and ^cc++++=and
Frenzel ^np+++??+=Frenzel
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
authentic ^jj+atrb+++=authentic
expression ^nn++++=expression
of ^in++++=of
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
impaired ^vbd+++xvbn+=impaired
teacher ^nn++++=teacher-student
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
relationships ^nns+nom+++=relationships
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
emotional ^jj+atrb+++=emotional
exhaustion ^nn+nom+++=exhaustion,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
the ^ati++++=the
critical ^jj+atrb+++=critical
role ^nn++++=role
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
in ^in++++=in
the ^ati++++=the
teaching ^nn++++=teaching
profession ^nn++++=profession.
. ^zz++++=EXTRAWORD
