When ^wrb+who+++=When
listening ^vbg+++xvbg+=listening
carefully ^rb++++=carefully.
. ^zz++++=EXTRAWORD
An ^at++++=An
illustrative ^jj+atrb+++=illustrative
example ^nn++++=example
is ^vbz+bez+vrb++=is
the ^ati++++=the
song ^nn++++=song
that ^tht+rel+subj++=that
includes ^vb++++=includes
the ^ati++++=the
lyrics ^nns++++=lyrics,
, ^zz++++=EXTRAWORD
valha ^nn+++??+=valha
me ^pp1o+pp1+++=me
Deus ^np+++??+=Deus,
, ^zz++++=EXTRAWORD
Senhor ^np+++??+=Senhor
S ^zz++++=S
o ^zz++++=o
Bento ^np+++??+=Bento,
, ^zz++++=EXTRAWORD
buraco ^nn+++??+=buraco
velho ^nn+++??+=velho
tem ^nn+++??+=tem
cobra ^nn+++??+=cobra
dentro ^nn+++??+=dentro.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
translates ^nns+nom+++=translates
to ^in++++=to
God ^np++++=God
help ^nn++++=help
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Saint ^nn++++=Saint
Benedict ^np+++??+=Benedict,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
hole ^nn++++=hole
has ^vbz+hvz+vrb++=has
a ^at++++=a
snake ^nn++++=snake
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
valha ^nn+++??+=valha
me ^pp1o+pp1+++=me
Deus ^np+++??+=Deus
is ^vbz+bez+vrb++=is
a ^at++++=a
plea ^nn++++=plea
for ^in++++=for
protection ^nn+nom+++=protection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saint ^nn++++=Saint
Benedict ^np+++??+=Benedict
is ^vbz+bez+aux++=is
invoked ^vpsv++agls+xvbnx+=invoked
as ^ql++++=as
a ^at++++=a
protector ^nn++++=protector
against ^in++++=against
snake ^nn++++=snake
bites ^nns++++=bites,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
metaphorically ^rb++++=metaphorically
refers ^vbz++++=refers
to ^in++++=to
potential ^jj+atrb+++=potential
attacks ^nns++++=attacks
from ^in++++=from
other ^ap++++=other
capoeiristas ^nns+++??+=capoeiristas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
buraco ^nn+++??+=buraco
velho ^nn+++??+=velho
tem ^nn+++??+=tem
cobra ^nn+++??+=cobra
dentro ^nn+++??+=dentro
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
warning ^nn++++=warning
that ^tht+ncmp+++=that
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
player ^nn++++=player
may ^md+pos+++=may
be ^vb+be+aux++=be
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
roda ^nn+++??+=roda,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
caution ^nn+nom+++=caution
is ^vbz+bez+aux++=is
advised ^vpsv++agls+xvbnx+=advised
when ^wrb+who+whcl++=when
engaging ^jj+++xvbg+=engaging
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+vrb++=be
dangerous ^jj+pred+++=dangerous.
. ^zz++++=EXTRAWORD
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
sandro ^np++++=Sandro
audio ^nn++++=audio
transcription ^nn+nom+++=transcription)
) ^zz++++=EXTRAWORD
