Lianas ^np+++??+=Lianas
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
dehydration ^nn+nom+++=dehydration
on ^in++++=on
stem ^nn++++=stem
bending ^vwbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
and ^cc++++=and
leaf ^nn++++=leaf
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
were ^vbd+bed+aux++=were
experimentally ^rb++splt++=experimentally
evaluated ^vpsv++agls+xvbnx+=evaluated
in ^in++++=in
Amphilophium ^np+++??+=Amphilophium
crucigerum ^nn+++??+=crucigerum
( ^zz++++=(Bignoniaceae).
bignoniaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
stem ^nn++++=stem
and ^cc++++=and
leaf ^nn++++=leaf
samples ^nns++++=samples
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
assigned ^vbd+++xvbn+=assigned
to ^to++++=to
two ^cd++++=two
conditions ^nns+nom+++=conditions:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
samples ^nns++++=samples
maintained ^vbd+vpub++xvbn+=maintained
in ^in++++=in
a ^at++++=a
moist ^jj+atrb+++=moist
state ^nn++++=state
and ^cc++++=and
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
samples ^nns++++=samples
subjected ^vwbn+++xvbn+=subjected
to ^in++++=to
gradual ^jj+atrb+++=gradual
dehydration ^nn+nom+++=dehydration
through ^in++++=through
air ^nn++++=air
exposure ^nn++++=exposure.
. ^zz++++=EXTRAWORD
Structural ^jj+atrb+++=Structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
in ^in++++=in
stems ^nns++++=stems
and ^cc++++=and
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
in ^in++++=in
leaves ^nns++++=leaves
were ^vbd+bed+aux++=were
measured ^vpsv++agls+xvbnx+=measured
at ^rb++++=at
4 ^zz++++=4-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
intervals ^nns+nom+++=intervals
over ^in++++=over
a ^at++++=a
48 ^cd++++=48-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
period ^nn++++=period
for ^in++++=for
both ^abx++++=both
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
samples ^nns++++=samples
undergoing ^vwbg+++xvbg+=undergoing
gradual ^jj+atrb+++=gradual
dehydration ^nn+nom+++=dehydration
exhibited ^vbd+++xvbn+=exhibited
increased ^vbd+++xvbn+=increased
stem ^nn++++=stem
bending ^vwbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
and ^cc++++=and
leaf ^nn++++=leaf
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
samples ^nns++++=samples
kept ^vbd+++xvbn+=kept
moist ^jj++++=moist
showed ^jj+++xvbn+=showed
no ^at++++=no
significant ^jj+atrb+++=significant
changes ^nns++++=changes
in ^in++++=in
these ^dt+dem+++=these
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
throughout ^in++++=throughout
the ^ati++++=the
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
tissue ^nn++++=tissue
moisture ^nn++++=moisture
content ^nn++++=content
is ^vbz+bez+vrb++=is
a ^at++++=a
critical ^jj+atrb+++=critical
factor ^nn++++=factor
influencing ^vwbg+++xvbg+=influencing
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
liana ^nn+++??+=liana
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
carefully ^rb++splt++=carefully
considered ^vpsv++agls+xvbn+=considered
in ^in++++=in
related ^xvbn+++xvbn+=related
assessments ^nns+nom+++=assessments.
. ^zz++++=EXTRAWORD
