Opportunism ^nn+nom+++=Opportunism
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
influenced ^xvbn+++xvbn+=influenced
by ^in++++=by
different ^jj+atrb+++=different
organizational ^jj+atrb+++=organizational
levels ^nns++++=levels
that ^tht+rel+obj++=that
shape ^nn++++=shape
biodiversity ^nn+nom+++=biodiversity
patterns ^nns++++=patterns
( ^zz++++=(Levin,
levin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
cleaner ^jjr+atrb+++=cleaner
birds ^nns++++=birds
are ^vb+ber+vrb++=are
generalists ^nns+nom+++=generalists
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
variety ^nn++++=variety
of ^in++++=of
host ^nn++++=host
species ^nn++++=species
they ^pp3a+pp3+++=they
interact ^vb+++??+=interact
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
are ^vb+ber+vrb++=are
dietary ^jj+atrb+++=dietary
specialists ^nns+nom+++=specialists.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Oxpeckers ^nns+nom++??+=Oxpeckers
( ^zz++++=(Buphagus
buphagus ^nns+++??+=EXTRAWORD
sp ^&fo++++=sp.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
specialized ^vpsv++agls+xvbnx+=specialized
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=feeding
exclusively ^rb++++=exclusively
on ^in++++=on
parasites ^nns++++=parasites
found ^vbd+vprv++xvbn+=found
on ^in++++=on
large ^jj+atrb+++=large
mammals ^nns+nom+++=mammals.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
central ^jj+pred+++=central
within ^in++++=within
the ^ati++++=the
interaction ^nn+nom+++=interaction
network ^nn++++=network
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
associations ^nns+nom+++=associations
with ^in++++=with
multiple ^jj+atrb+++=multiple
mammal ^jj+atrb+++=mammal
species ^nns++++=species,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
diet ^nn++++=diet
is ^vbz+bez+aux++=is
specialized ^vpsv++agls+xvbnx+=specialized,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
small ^jj+atrb+++=small
arthropods ^nns+++??+=arthropods
inhabiting ^vwbg+++xvbg+=inhabiting
these ^dt+dem+++=these
hosts ^nns++++=hosts.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
morphological ^jj+atrb+++=morphological
and ^cc+phrs+++=and
physiological ^jj+atrb+++=physiological
diversity ^nn+nom+++=diversity
of ^in++++=of
these ^dt+dem+++=these
parasites ^nns++++=parasites,
, ^zz++++=EXTRAWORD
Oxpeckers ^nns+nom++??+=Oxpeckers
are ^vb+ber+aux++=are
considered ^vpsv++tht0+xvbnx+=considered
dietary ^jj+atrb+++=dietary
specialists ^nns+nom+++=specialists
compared ^vbd+++xvbn+=compared
to ^in++++=to
birds ^nns++++=birds
that ^tht+rel+subj++=that
consume ^vb++++=consume
a ^at++++=a
broader ^jjr+atrb+++=broader
range ^nn++++=range
of ^in++++=of
food ^nn++++=food
types ^nns++++=types.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
opportunistic ^jj+atrb+++=opportunistic
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
facilitating ^vbg+++xvbg+=facilitating
engagement ^nn+nom+++=engagement
in ^in++++=in
facultative ^jj+atrb+++=facultative
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
also ^rb++++=also
result ^nn++++=result
in ^in++++=in
specialized ^jj+atrb++xvbn+=specialized
ecological ^jj+atrb+++=ecological
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^to++++=to
close ^vbi++++=close
associations ^nns+nom+++=associations
between ^in++++=between
cleaner ^jjr+atrb+++=cleaner
birds ^nns++++=birds
and ^cc++++=and
their ^pp$+pp3+++=their
frequent ^jj+atrb+++=frequent
hosts ^nns++++=hosts.
. ^zz++++=EXTRAWORD
