Throughout ^in++++=Throughout
any ^dti++++=any
data ^nns++++=data
they ^pp3a+pp3+++=they
added ^vbd+vpub++xvbnx+=added
to ^in++++=to
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
corpus ^nn++++=corpus.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
corpus ^nn++++=corpus
size ^nn++++=size
can ^md+pos+++=can
be ^vb+be+vrb++=be
as ^ql++++=as
small ^jj++++=small
as ^ql++++=as
1,327 ^cd++++=1,327
words ^nns++++=words
( ^zz++++=(
Fan ^np++++=Fan,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
usual ^jj+atrb+++=usual
corpus ^nn++++=corpus
size ^nn++++=size
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
lcr ^nn+++??+=lcr
ranges ^nns++++=ranges
between ^in++++=between
10,000 ^cd++++=10,000
and ^cc++++=and
100,000 ^cd++++=100,000
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Researchers ^np+++??+=Researchers
have ^vb+hv+aux++=have
rarely ^rb++splt++=rarely
constructed ^vprf+++xvbnx+=constructed
corpora ^nn+++??+=corpora
of ^in++++=of
over ^in++++=over
one ^cd1++++=one-million
- ^zz++++=EXTRAWORD
million ^cd++++=EXTRAWORD
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
tend ^vb++++=tend
to ^to+vcmp+++=to
resort ^vbi++++=resort
to ^in++++=to
readily ^rb++++=readily
available ^jj+atrb+++=available
corpora ^nn+++??+=corpora
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
hkust ^nn+++??+=hkust-lc,
- ^zz++++=EXTRAWORD
lc ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
larger ^jjr+atrb+++=larger
language ^nn++++=language
samples ^nns++++=samples
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required.
. ^zz++++=EXTRAWORD
Clearly ^rb+cnj+++=Clearly,
, ^zz++++=EXTRAWORD
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
has ^vbz+hvz+aux++=has
attached ^vprf+++xvbnx+=attached
more ^rbr++++=more
emphasis ^nn++++=emphasis
to ^in++++=to
representativeness ^nns+++??+=representativeness
of ^in++++=of
the ^ati++++=the
content ^nn++++=content
rather ^rb++++=rather
than ^in++++=than
corpus ^nn++++=corpus
size ^nn++++=size,
, ^zz++++=EXTRAWORD
even ^rb++++=even
though ^cs+sub+++=though
both ^abx++++=both
are ^vb+ber+aux++=are
considered ^vbd+vprv++xvbn+=considered
to ^to+vcmp+++=to
be ^vbi++vrb++=be
crucial ^jj+atrb+++=crucial
criteria ^nns++++=criteria
in ^in++++=in
corpus ^nn++++=corpus
research ^nn++++=research.
. ^zz++++=EXTRAWORD
