Instead ^rb+cnj+++=Instead,
by ^in++++=by
past ^jjb+atrb+++=past
populations ^nns+nom+++=populations.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
results ^nns++++=results
show ^vb+vprv+++=show
a ^at++++=a
predominant ^jj+atrb+++=predominant
incidence ^nn+nom+++=incidence
on ^in++++=on
the ^ati++++=the
Magdalenian ^np+++??+=Magdalenian
juveniles ^nns+++??+=juveniles.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
predominance ^nn+nom+++=predominance
might ^md+pos+++=might
be ^vb+be+aux++=be
linked ^vpsv++agls+xvbnx+=linked
to ^to++++=to
increasing ^vbg+++xvbg+=increasing
food ^nn++++=food
abrasiveness ^nns+nom+++=abrasiveness.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
through ^in++++=through
microwear ^nn+++??+=microwear
texture ^nn++++=texture
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
El ^np++++=El
Zaatari ^np+++??+=Zaatari
and ^cc++++=and
Hublin ^np+++??+=Hublin
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
from ^in++++=from
a ^at++++=a
Magdalenian ^np+++??+=Magdalenian
context ^nn++++=context
have ^vb+hv+vrb++=have
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
mean ^jj+atrb+++=mean
values ^nns++++=values
of ^in++++=of
complexity ^nn+nom+++=complexity
( ^zz++++=(Asfc)
asfc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
with ^in++++=with
individuals ^nns+nom+++=individuals
from ^in++++=from
the ^ati++++=the
preceding ^jj+++xvbg+=preceding
Gravettian ^np+++??+=Gravettian
and ^cc++++=and
Aurignacian ^np+++??+=Aurignacian
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
Magdalenian ^np+++??+=Magdalenian
diet ^nn++++=diet
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
varied ^vpsv++agls+xvbnx+=varied
and ^cc++++=and
had ^vb+hv+vrb++=had
higher ^jjr+atrb+++=higher
abrasive ^nn++++=abrasive
loads ^nns++++=loads
than ^in++++=than
earlier ^jjr+atrb+++=earlier
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
Scott ^np++++=Scott
and ^cc++++=and
Winn ^np+++??+=Winn
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
noted ^vprf+++xvbn+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
grinding ^xvbg+++xvbg+=grinding
stones ^nns++++=stones
to ^in++++=to
process ^nns+nom+++=process
grains ^nns++++=grains
adds ^vbz+vpub+++=adds
fine ^jj++++=fine-grained
- ^zz++++=EXTRAWORD
grained ^jj+atrb+++=EXTRAWORD
particles ^nns++++=particles
in ^in++++=in
the ^ati++++=the
product ^nn++++=product,
, ^zz++++=EXTRAWORD
increasing ^jj+atrb++xvbg+=increasing
tooth ^nn++++=tooth
wear ^nn++++=wear.
. ^zz++++=EXTRAWORD
Depending ^vbg+++xvbg+=Depending
on ^in++++=on
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
larger ^jjr+atrb+++=larger
particles ^nns++++=particles
could ^md+pos+++=could
be ^vb+be+aux++=be
detached ^vpsv++agls+xvbnx+=detached
from ^in++++=from
it ^pp3+it+++=it
and ^cc++++=and
during ^in++++=during
mastication ^nn+nom+++=mastication,
, ^zz++++=EXTRAWORD
the ^ati++++=the
occlusal ^jj+atrb+++=occlusal
dental ^jj+atrb+++=dental
surface ^nn++++=surface
could ^md+pos+++=could
be ^vb+be+aux++=be
chipped ^vpsv++agls+xvbnx+=chipped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grit ^nn++++=grit
also ^rb++++=also
makes ^vbz++++=makes
the ^ati++++=the
food ^nn++++=food
more ^rbr++++=more
abrasive ^nn++++=abrasive,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
down ^rb+phrv+++=down
the ^ati++++=the
tooth ^nn++++=tooth
faster ^rbr++++=faster
( ^zz++++=(
El ^np++++=El
Zaatari ^np+++??+=Zaatari,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
lucas ^np++++=Lucas
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
