Thus ^rb+cnj+++=Thus,
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
the ^ati++++=the
following ^jj+atrb++xvbg+=following
search ^nn++++=search
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
Coronavirus ^np+++??+=Coronavirus
and ^cc++++=and
venous ^nns+++??+=venous
thrombosis ^nn++++=thrombosis
, ^zz++++=,
Coronavirus ^np+++??+=Coronavirus
and ^cc++++=and
thrombosis ^nn++++=thrombosis
, ^zz++++=,
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
venous ^nns+++??+=venous
thrombosis ^nn++++=thrombosis
and ^cc++++=and
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
coronavirus ^np++++=Coronavirus
and ^cc++++=and
thrombosis ^nn++++=thrombosis
. ^zz++++=.
