Another ^dt++++=Another
shaped ^jj+atrb++xvbn+=EXTRAWORD
proboscis ^nns+++??+=proboscis
solely ^rb++++=solely
capable ^jj++++=capable
of ^in++++=of
piercing ^xvbg+++xvbg+=piercing
its ^pp$+it+++=its
prey ^nn++++=prey
from ^in++++=from
above ^nn++++=above.
. ^zz++++=EXTRAWORD
Cobben ^np+++??+=Cobben
( ^zz++++=(1979)
1979 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
regards ^in++++=regards
triatomines ^nns+++??+=triatomines
as ^ql++++=as
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
subfamily ^nn+++??+=subfamily
within ^in++++=within
Reduviidae ^np+++??+=Reduviidae
according ^in+cmpx+++=according
to ^in"++++=to
this ^dt+dem+++=this
mouth ^nn++++=mouth-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
structure ^nn++++=structure
and ^cc++++=and
function ^nn++++=function.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
morphologic ^nn+++??+=morphologic-behavioral
- ^zz++++=EXTRAWORD
behavioral ^jj+atrb+++=EXTRAWORD
coupling ^nn++++=coupling
( ^zz++++=(sensu
sensu ^nn+++??+=EXTRAWORD
Varela ^np+++??+=Varela
1988 ^cd+date+++=1988)
) ^zz++++=EXTRAWORD
illustrates ^vbz+vpub+++=illustrates
a ^at++++=a
structural ^jj+atrb+++=structural
adaptation ^nn++++=adaptation
( ^zz++++=(sensu
sensu ^nn+++??+=EXTRAWORD
Croizat ^np+++??+=Croizat
1962 ^cd+date+++=1962,
, ^zz++++=EXTRAWORD
Greham ^np+++??+=Greham
1984 ^cd+date+++=1984,
, ^zz++++=EXTRAWORD
Ot ^np+++??+=Ot
lora ^nn+++??+=lora-Luna
- ^zz++++=EXTRAWORD
luna ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deserves ^vbz++++=deserves
special ^jj+atrb+++=special
consideration ^nn++++=consideration
as ^ql++++=as
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
tracing ^nn+++??+=tracing
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
evolution ^nn++++=evolution
of ^in++++=of
kleptophagy ^nn+++??+=kleptophagy
in ^in++++=in
these ^dt+dem+++=these
insects ^nns++++=insects
( ^zz++++=(Aldana
aldana ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
