Furthermore ^rb+cnj+++=Furthermore,
Animal ^nn++++=Animal
experiments ^nns++++=experiments
against ^in++++=against
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Mers ^np+++??+=MERS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
the ^ati++++=the
combination ^nn++++=combination
of ^in++++=of
lopinavir ^nn+++??+=lopinavir/ritonavir
( ^zz++++=(LPV/r)
lpv ^nn+++??+=EXTRAWORD
with ^in++++=with
Ifnsignificantly ^np+++??+=IFNsignificantly
reduced ^vwbn+++xvbn+=reduced
viral ^nn+++??+=viral
load ^nn++++=load
and ^cc++++=and
improved ^jj+atrb++xvbn+=improved
pulmonary ^nn+++??+=pulmonary
function ^nn++++=function.
. ^zz++++=EXTRAWORD
The ^ati++++=The
combination ^nn++++=combination
of ^in++++=of
Lpv ^np+++??+=LPV/r
shows ^vbz+vprv+++=shows
a ^at++++=a
synergistic ^nn+++??+=synergistic
effect ^nn++++=effect
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
Sars ^np+++??+=SARS
patients ^nns++++=patients
( ^zz++++=(Yao
yao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
( ^zz++++=(NCT02845843)
nct02845843 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
currently ^rb++splt++=currently
testing ^vbg+++xvbgx+=testing
a ^at++++=a
combination ^nn++++=combination
of ^in++++=of
lopinavir ^nn+++??+=lopinavir,
, ^zz++++=EXTRAWORD
ritonavir ^nn+++??+=ritonavir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interferon1b ^nn+++??+=interferon1b
against ^in++++=against
Mers ^np+++??+=MERS
( ^zz++++=(Arabi
arabi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Combined ^j+++xvbn+=Combined
Lpv ^np+++??+=LPV/r
reduced ^vwbn+++xvbn+=reduced
the ^ati++++=the
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
patients ^nns++++=patients
to ^to++++=to
become ^vbi++++=become
negative ^jj++++=negative
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
( ^zz++++=(Yao
yao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^vbd+++xvbn+=increased
eosinophils ^nns+++??+=eosinophils,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
improvement ^nn++++=improvement
in ^in++++=in
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
outcome ^nn++++=outcome
( ^zz++++=(Liu
liu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
study ^nn++++=study,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
reported ^j+++xvbn+=reported
no ^at++++=no
difference ^nn++++=difference
in ^in++++=in
the ^ati++++=the
administration ^nn++++=administration
of ^in++++=of
lopinavir ^nn+++??+=lopinavir
and ^cc++++=and
ritonavir ^nn+++??+=ritonavir
in ^in++++=in
a ^at++++=a
group ^nn++++=group
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
already ^rb++++=already
in ^in++++=in
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
stage ^nn++++=stage
( ^zz++++=(Cao
cao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shortening ^vbg+++xvbg+=shortening
of ^in++++=of
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
shedding ^jj+++xvbg+=shedding
( ^zz++++=(Cheng
cheng ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
retrospective ^jj+atrb+++=retrospective
analysis ^nn++++=analysis
of ^in++++=of
adverse ^jj+atrb+++=adverse
drug ^nn++++=drug
reactions ^nns++++=reactions
( ^zz++++=(ADRs)
adrs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
admitted ^vbd+vpub++xvbn+=admitted
at ^rb++++=at
the ^ati++++=the
First ^od++++=First
Hospital ^npl++++=Hospital
of ^in++++=of
Changsha ^np+++??+=Changsha
in ^in++++=in
China ^np++++=China
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
about ^rp++++=about
64 ^cd++++=64%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
observed ^jj+++xvbn+=observed
Adrs ^np+++??+=ADRs
were ^vbd+bed+aux++=were
correlated ^vpsv++agls+xvbnx+=correlated
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Lpv ^np+++??+=LPV/r
( ^zz++++=(Sun
sun ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
Lpv ^np+++??+=LPV/r
presented ^vwbn+++xvbn+=presented
a ^at++++=a
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
proportion ^nn++++=proportion
of ^in++++=of
abnormal ^jj+atrb+++=abnormal
liver ^nn++++=liver
function ^nn++++=function
( ^zz++++=(Fan
fan ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
about ^in++++=about
211 ^cd++++=211
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
ongoing ^nn+++??+=ongoing,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
these ^dt+dem+++=these
antivirals ^nns+++??+=antivirals,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
Lopinavir ^np+++??+=Lopinavir,
, ^zz++++=EXTRAWORD
Ritonavir ^np+++??+=Ritonavir,
, ^zz++++=EXTRAWORD
Remdesivir ^np+++??+=Remdesivir,
, ^zz++++=EXTRAWORD
Favipiravir ^np+++??+=Favipiravir,
, ^zz++++=EXTRAWORD
in ^in++++=in
combination ^nn++++=combination,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
or ^cc++++=or
with ^in++++=with
other ^ap++++=other
drugs ^nns++++=drugs
in ^in++++=in
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
patients ^nns++++=patients
( ^zz++++=(Cochrane
cochrane ^nn++++=EXTRAWORD
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
study ^nn++++=Study
register ^nn++++=register).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
