Why ^wrb+who+++=Why
the ^ati++++=the
latter ^ap++++=latter
illegally ^rb++++=illegally
makes ^vbz++++=makes
paywalled ^nn+++??+=paywalled
content ^nn++++=content
available ^jj++++=available
for ^in++++=for
free ^jj++++=free
and ^cc++++=and
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
piracy ^vb+++??+=piracy.
. ^zz++++=EXTRAWORD
High ^jj+atrb+++=High
Apc ^np+++??+=APC
costs ^nns++++=costs
are ^vb+ber+vrb++=are
clearly ^rb++++=clearly
impeditive ^nn+++??+=impeditive
for ^in++++=for
researchers ^nns+++??+=researchers
from ^in++++=from
most ^ql+emph+++=most
countries ^nns++++=countries
and ^cc++++=and
for ^in++++=for
small ^jj+atrb+++=small
research ^nn++++=research
groups ^nns++++=groups
lacking ^vwbg+++xvbg+=lacking
big ^jj+atrb+++=big
budgets ^nns++++=budgets.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
certainly ^rb++++=certainly
many ^ap++++=many
other ^ap++++=other
priorities ^nns++++=priorities
for ^in++++=for
spending ^nn++++=spending
limited ^vbd+++xvbn+=limited
research ^nn++++=research
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
access ^nn++++=access
through ^in++++=through
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Sci ^np+++??+=Sci-Hub
- ^zz++++=EXTRAWORD
hub ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
deprived ^vpsv++agls+xvbnx+=deprived
of ^in++++=of
respect ^nn++++=respect
for ^in++++=for
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
property ^nn++++=property
or ^cc++++=or
copyright ^nn+++??+=copyright
laws ^nns++++=laws
and ^cc++++=and
certainly ^rb++++=certainly
raises ^vbz++++=raises
many ^ap++++=many
moral ^jj+atrb+++=moral
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
at ^in++++=at
least ^rbt++++=least
controversial ^jj++++=controversial
that ^cs+sub+++=that
authors ^vbz++++=authors
are ^vb+ber+aux++=are
opposed ^vpsv++agls+xvbnx+=opposed
to ^to++++=to
paying ^vbi++++=paying
fees ^nns++++=fees
to ^in++++=to
Apc ^np+++??+=APC-GOA
- ^zz++++=EXTRAWORD
goa ^nn+++??+=EXTRAWORD
journals ^nns++++=journals
and ^cc++++=and
are ^vb+ber+vrb++=are
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
hybrid ^nn++++=hybrid
platforms ^nns++++=platforms
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
break ^vbi++++=break
paywalls ^nns++++=paywalls
to ^in++++=to
access ^nn++++=access
payment ^nn++++=payment-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
content ^nn++++=content.
. ^zz++++=EXTRAWORD
