REAGENT or RESOURCE SOURCE IDENTIFIER Antibodies rabbit anti-H3K27ac Diagenode C15410174
England Biolabs M0541S NEBNext Multiplex Oligos for Illumina New England
Biolabs E7335, E7500 NEBNext Quick Ligation Reaction Buffer (5X) New
England Biolabs B6058S NEBNext Ultra II Q5 Master Mix New
England Biolabs M0544L Opti-MEM I Reduced Serum Medium, GlutaMAX Supplement
Thermo Fisher 51985026 Penicillin/Streptomycin Fisher Bioreagents 10003927 Proteinase K Roche
Diagnostics 1000144 Puromycin SIGMA-ALDRICH P8833 Recombinant Human/Mouse FGF-8b Isoform R&D
Systems #423-F8-025/CF Recombinant Mouse Wnt-3a protein R&D Systems #1324-WN-010/CF Ribonuclease
A from bovine pancreas, Type 1-A, RNase A Sigma Aldrich
R4875 Rnase Inhibitor (2000 U) Roche Diagnostics 3335399001 Roti-Phenol/ Chloroform/
Isoamylalcohol Carl Roth A156.2 SP6-RNA Polymerase (1000 U) Roche Diagnostics
10810274001 SYBR Green I Thermo Fisher S7563 T4 DNA Ligase
New England Biolabs M0202L T4 DNA Polymerase New England Biolabs
M0203L T4 Polynucleotide Kinase NK New England BioLabs M0201 T7-RNA
Polymerase (1000 U) Roche Diagnostics 10881767001 Tagment DNA Buffer Illumnia
15027866 Tagment DNA Enzyme 1 (TDE1) Illumnia 15027865 tRNA from
Baker's Yeast Sigma Aldrich R6750 Trypsin-EDTA (0.05%), phenol red Thermo
Fisher 25300096 Water for Injection (WFI) for cell culture Thermo
Fisher A1287303 X-beta-Gal min 99 %, BioScience-Grade Carl Roth 2315.3
Cot-1 DNA Invitrogen Life Technologies 18440-016 Critical commercial assays 0.45
μm2 low protein-binding PES syringe filter Millipore SLHP003RS Accel-NGS Methyl-seq
DNA library kit Zymo DL-ILMMS-12 Agencourt AMPure XP beads Beckman
Coulter A63881 EpiTect Bisulfite Kit QIAGEN 59104 Dig-RNA-labeling Mix Roche
Diagnostics 11277073910 DNA Clean & Concentrator-5 kit Zymo D4013 Dneasy
Blood & Tissue Kit(50) QIAGEN 69504 EpiTect Bisulfite Kits QIAGEN
N/A EZ DNA Methylation-Gold Kit Zymo D5005 iDeal ChIP-seq kit
for histones Diagenode C01010051 KAPA HyperPrep kit for NGS DNA
Library Prep Roche 7962363001 MinElute PCR Purification Kit QIAGEN 28004
MinElute Reaction Clean up kit QIAGEN 28206 MycoAlert Assay Control
Set Lonza LT07-518 MycoAlert detection kit Lonza LT07-118 NEBNext Multiplex
Oligos for Illumina kit New England Biolabs E7500 PureLink Genomic
DNA Mini Kit Thermo Fisher K182002 Quick Ligation™ Kit New
England Biolabs M2200S Rneasy Mini Kit QIAGEN 74104 Vectashield Vector
laboratories H-1000 Zymo DNA Clean & Concentrator-5 kit Zymo D4013
Zymo Quick-DNA/RNA Microprep Plus Kit Zymo D7005 FISH Tag DNA
Kit Invitrogen Life Technologies F32951 Deposited data Raw and processed
sequencing data This study GEO: GSE185775 Whole genome bisulphite sequencing
This study GEO: GSE185765 RNA-Seq in wildtype & mutant mouse
E11.5 limbs and ESCs This study GEO: GSE185766 Hi-C in
chicken and mouse embryonic limbs This study GEO: GSE185768 DamID-seq
in wildtype mouse E11.5 limbs and ESCs This study GEO:
GSE185771 ChIP-seq in wildtype mouse ESCs This study GEO: GSE185772
ATAC-seq in wildtype mouse E11.5 limbs This study GEO: GSE185774
HiC in mouse ESCs after transcription inhibition Hsieh et al.,
2020 59. Hsieh, T.-H.S. ∙ Cattoglio, C. ∙ Slobodyanyuk, E.
... Resolving the 3D landscape of transcription-linked mammalian chromatin folding
Mol. Cell. 2020; 78 :539-553.e8 Full Text Full Text (PDF)
Scopus (144) PubMed Google Scholar 4DNES14CNC1I Hi-C in mouse ESCs
and Cortical Neurons Bonev et al., 2017 25. Bonev, B.
∙ Cohen, N.M. ∙ Szabo, Q. ... Multiscale 3D genome
rewiring during mouse neural development Cell. 2017; 171 :557-572.e24 Full
Text Full Text (PDF) Scopus (568) PubMed Google Scholar GEO:
GSE96107 Hi-C in mouse E11.5 limb buds Kraft et al.,
2019 72. Kraft, K. ∙ Magg, A. ∙ Heinrich, V.
... Serial genomic inversions induce tissue-specific architectural stripes, gene misexpression
and congenital malformations Nat. Cell Biol. 2019; 21 :305-310 Crossref
Scopus (62) PubMed Google Scholar GEO: GSE116794 ChIP-seq for CTCF,
Rad21 and H3K9me3 in mouse ESCs and E11.5 limb buds
Kraft et al., 2019 72. Kraft, K. ∙ Magg, A.
∙ Heinrich, V. ... Serial genomic inversions induce tissue-specific architectural
stripes, gene misexpression and congenital malformations Nat. Cell Biol. 2019;
21 :305-310 Crossref Scopus (62) PubMed Google Scholar GEO: GSE116794
ChIP-seq for H3K4me1, H3K4me3, H3K27ac and H3K27me3 in E11.5 limb
buds Andrey et al., 2017 9. Andrey, G. ∙ Schöpflin,
R. ∙ Jerković, I. ... Characterization of hundreds of regulatory
landscapes in developing limbs reveals two regimes of chromatin folding
Genome Res. 2017; 27 :223-233 Crossref Scopus (74) PubMed Google
Scholar GEO: GSE84795 ATAC-seq in mouse ESCs Bauer et al.,
2021 16. Bauer, M. ∙ Vidal, E. ∙ Zorita, E.
... Chromosome compartments on the inactive X guide TAD formation
independently of transcription during X-reactivation Nat. Commun. 2021; 12 :3499
Crossref Scopus (12) PubMed Google Scholar GEO: GSE157448 Fantom5 CAGE
Expression datasets Lizio et al., 2015 84. Lizio, M. ∙
Harshbarger, J. ∙ Shimoji, H. ... Gateways to the FANTOM5
promoter level mammalian expression atlas Genome Biol. 2015; 16 :22
Crossref Scopus (433) PubMed Google Scholar https://fantom.gsc.riken.jp/5/data/ DamID in mouse
E11.5 limb cells Allou et al., 2021 5. Allou, L.
∙ Balzano, S. ∙ Magg, A. ... Non-coding deletions identify
Maenli lncRNA as a limb-specific En1 regulator Nature. 2021; 592
:93-98 PubMed Google Scholar GEO: GSE137335 Hi-C in mouse inner
cell mass and 8-cell embros Du et al., 2017 40.
Du, Z. ∙ Zheng, H. ∙ Huang, B. ... Allelic
reprogramming of 3D chromatin architecture during early mammalian development Nature.
2017; 547 :232-235 Crossref Scopus (243) PubMed Google Scholar GEO:
GSE82185 Hi-C and H3K27ac & CTCF ChIP-seq in human ESCs
and cardiomyocytes Zhang et al., 2019 156. Zhang, Y. ∙
Li, T. ∙ Preissl, S. ... Transcriptionally active HERV-H retrotransposons
demarcate topologically associating domains in human pluripotent stem cells Nat.
Genet. 2019; 51 :1380-1388 Crossref Scopus (105) PubMed Google Scholar
GEO: GSE116862 Hi-C in 48 hr hpf Zebrafish Yang et
al., 2020 149. Yang, H. ∙ Luan, Y. ∙ Liu,
T. ... A map of cis -regulatory elements and 3D
genome structures in zebrafish Nature. 2020; 588 :337-343 Crossref Scopus
(15) PubMed Google Scholar GEO: GSE134055 Hi-C in xenopus brain
Niu et al., 2021 98. Niu, L. ∙ Shen, W.
∙ Shi, Z. ... Three-dimensional folding dynamics of the Xenopus
tropicalis genome Nat. Genet. 2021; 53 :1075-1087 Crossref Scopus (7)
PubMed Google Scholar SRA: PRJNA606649 Hi-C in pig embryonic fibroblasts
Li et al., 2020 79. Li, F. ∙ Wang, D.
∙ Song, R. ... The asynchronous establishment of chromatin 3D
architecture between in vitro fertilized and uniparental preimplantation pig embryos
Genome Biol. 2020; 21 :203 Crossref Scopus (5) PubMed Google
Scholar GEO: GSE153452 DamID in human RPE and ESCs van
Schaik et al., 2020 139. van Schaik, T. ∙ Vos,
M. ∙ Peric-Hupkes, D. ... Cell cycle dynamics of lamina-associated
DNA EMBO Rep. 2020; 21 :e50636 Crossref Scopus (26) PubMed
Google Scholar 4D nucleome ChIP-seq for H3K36me3 in mouse ESCs
Encode GEO: GSE31039 ChIP-seq for CTCF in chicken Jerković et
al., 2017 63. Jerković, I. ∙ Ibrahim, D.M. ∙ Andrey,
G. ... Genome-wide binding of posterior HOXA/D transcription factors reveals
subgrouping and association with CTCF PLoS Genet. 2017; 13 :e1006567
Crossref Scopus (28) PubMed Google Scholar GEO: GSE86089 scRNA-seq in
gastrulating E6.5-8.5 mouse embryos Pijuan-Sala et al., 2019 108. Pijuan-Sala,
B. ∙ Griffiths, J.A. ∙ Guibentif, C. ... A single-cell
molecular map of mouse gastrulation and early organogenesis Nature. 2019;
566 :490-495 Crossref Scopus (281) PubMed Google Scholar ArrayExpress: E-MTAB-6967
scRNA-seq in E9.5-E12.5 mouse embryos Cao et al., 2019 30.
Cao, J. ∙ Spielmann, M. ∙ Qiu, X. ... The
single-cell transcriptional landscape of mammalian organogenesis Nature. 2019; 566 :496-502
Crossref Scopus (821) PubMed Google Scholar GEO: GSE119945 scRNA-seq in
E9.5-E14.5 mouse placentas Marsh and Blelloch, 2020 90. Marsh, B.
∙ Blelloch, R. Single nuclei RNA-seq of mouse placental labyrinth
development eLife. 2020; 9 :e60266 Crossref Scopus (25) PubMed Google
Scholar GEO: GSE152248 Experimental models: Cell lines G4 ESCs (XY,
129/Sv x C57BL/6 F1 hybrid) Georg et al., 2007 51.
George, S.H. ∙ Gertsenstein, M. ∙ Vintersten, K. ... Developmental
and adult phenotyping directly from mutant embryonic stem cells Proc.
Natl. Acad. Sci. USA. 2007; 104 :4455-4460 Crossref Scopus (142)
PubMed Google Scholar N/A CTCF-AID-GFP E14 ESCs Nora et al.,
2017 100. Nora, E.P. ∙ Goloborodko, A. ∙ Valton, A.L.
... Targeted degradation of CTCF decouples local insulation of chromosome
domains from genomic compartmentalization Cell. 2017; 169 :930-944.e22 Full Text
Full Text (PDF) Scopus (761) PubMed Google Scholar N/A Rad21-AID-GFP
E14 ESCs Liu et al., 2021 83. Liu, N.Q. ∙
Maresca, M. ∙ van den Brand, T. ... WAPL maintains
a cohesin loading cycle to preserve cell-type-specific distal gene regulation
Nat. Genet. 2021; 53 :100-109 Crossref Scopus (36) PubMed Google
Scholar N/A ∗ mutant ESC lines are listed in Table
1 This study N/A 293FT Thermofisher R70007 Experimental models: Organisms/strains
Wild-type and mutant mice derived from G4 ESCs This study
N/A Opossums (Monodelphis domestica) Naturkunde Museum, Berlin N/A Chicken (
Gallus Gallus ) Valo Biomedia N/A Oligonucleotides Zfp42/Fat1 cHi-C libary
This study mm10, chr8: 39022300-48000000 DamID oligos and primers see
Table S2 Vogel et al., 2007 141. Vogel, M.J. ∙
Peric-Hupkes, D. ∙ van Steensel, B. Detection of in vivo
protein-DNA interactions using DamID in mammalian cells Nat. Protoc. 2007;
2 :1467-1478 Crossref Scopus (215) PubMed Google Scholar N/A WISH
probe primers see Table S2 This study N/A Genotyping primers
see Table S2 This study N/A Cloning primers see Table
S2 This study N/A Oligopaint probes see Table S3 This
study N/A Recombinant DNA pLGW-Dam-V5-Lamin B1 (Mm) Steensel Lab N/A
pLGW-V5-Dam Steensel Lab N/A pMD2.G Bird Lab N/A psPAX2 Bird
Lab N/A BAC for Fat1R CHORI/BACPAC RP23-451E23 pX459 pSpCas9(BB)-2A-Puro vector
Addgene #62988 Fat1 promoter 302bp This study chr8: 44935221 -
44935522 Zfp42 promoter 602bp This study chr8: 43306912 - 43307513
Triml promoter 427bp This study chr8: 43180161 - 43180587 Fat1
enhancer This study chr8: 41591354 - 41594915 Knockin donor vectors
& corresponding pX459 sgRNAs see Table S1 This study N/A
Software and algorithms CRISPR design https://www.benchling.com N/A R https://www.r-project.org N/A
MACS2.0 https://github.com/taoliu/MACS N/A Bowtie2 Langmead and Salzberg, 2012 76. Langmead,
B. ∙ Salzberg, S.L. Fast gapped-read alignment with Bowtie 2
Nat. Methods. 2012; 9 :357-359 Crossref Scopus (24558) PubMed Google
Scholar N/A Samtools http://samtools.sourceforge.net N/A HiCUP v0.8.1 Wingett et al.,
2015 143. Wingett, S. ∙ Ewels, P. ∙ Furlan-Magaril, M.
... HiCUP: pipeline for mapping and processing Hi-C data F1000Res.
2015; 4 :1310 Crossref Scopus (252) PubMed Google Scholar N/A
Cooltools https://zenodo.org/record/5214125 N/A Juicer Durand et al., 2016 41. Durand,
N.C. ∙ Shamim, M.S. ∙ Machol, I. ... Juicer provides
a one-click system for analyzing loop-resolution Hi-C experiments Cell Syst.
2016; 3 :95-98 Full Text Full Text (PDF) PubMed Google
Scholar N/A Genrich https://github.com/jsh58/Genrich/ N/A UCSC genome browser https://genome.ucsc.edu N/A
WashU browser https://epigenomegateway.wustl.edu N/A HMMt https://github.com/gui11aume/HMMt N/A Other FISH and
SBS-modelling statistics summary see Table S5 This study N/A List
of bridging species for conservation analysis see Table S6 This
study N/A Open table in a new tab
