Item ^nn++++=Item
Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
expect ^vb+vprv+++=expect
that ^tht+vcmp+++=that
the ^ati++++=the
larger ^jjr++++=larger
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr++++=lower
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
item ^nn++++=item
nonresponse ^nn+++??+=nonresponse
in ^in++++=in
a ^at++++=a
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
interview ^nn++++=interview
( ^zz++++=(Hypothesis
hypothesis ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
outcome ^nn++++=outcome
of ^in++++=of
interest ^nn++++=interest
is ^vbz+bez+vrb++=is
about ^in++++=about
how ^wrb+who+++=how
smoothly ^rb++++=smoothly
respondents ^nns++++=respondents
interact ^nn+++??+=interact
with ^in++++=with
the ^ati++++=the
interviewer ^nn++++=interviewer
or ^cc+cls+++=or
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
reluctant ^jj+pred+++=reluctant
to ^to+jcmp+++=to
answer ^vb++++=answer
a ^at++++=a
question ^nn++++=question.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
logic ^nn++++=logic
of ^in++++=of
the ^ati++++=the
theory ^nn++++=theory
described ^vbd+++xvbn+=described
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
would ^md+prd+++=would
conclude ^vb+vprv+++=conclude
that ^tht+vcmp+++=that
respondents ^nns++++=respondents
are ^vb+ber+vrb++=are
more ^rbr++++=more
open ^jj+pred+++=open
and ^cc++++=and
more ^rbr++++=more
willing ^jj++++=willing
to ^to+jcmp+++=to
answer ^vb++++=answer
a ^at++++=a
question ^nn++++=question
truthfully ^rb++++=truthfully
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
trust ^vb+vprv+++=trust
the ^ati++++=the
interviewer ^nn++++=interviewer
and ^cc++++=and
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him
or ^cc++++=or
her ^pp$+pp3+++=her
sympathetic ^jj++++=sympathetic.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
respondents ^nns++++=respondents
trust ^vb+vprv+++=trust
the ^ati++++=the
interviewer ^nn++++=interviewer
and ^cc++++=and
interact ^nn+++??+=interact
more ^rbr++++=more
naturally ^rb+cnj+++=naturally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
less ^ql++++=less
probing ^nvbg+++xvbg+=probing
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
and ^cc++++=and
the ^ati++++=the
question ^nn++++=question-answer
- ^zz++++=EXTRAWORD
answer ^nn++++=EXTRAWORD
flow ^nn++++=flow
should ^md+nec+++=should
be ^vb+be+vrb++=be
more ^rbr++++=more
continuous ^jj+pred+++=continuous.
. ^zz++++=EXTRAWORD
As ^ql++++=As
this ^dt+pdem+++=this
relates ^vbz++++=relates
to ^in++++=to
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
gender ^nn++++=gender
and ^cc++++=and
age ^nn++++=age,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
hypothesis ^nn++++=hypothesis
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
larger ^jjr++++=larger
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr++++=lower
the ^ati++++=the
probability ^nn++++=probability
that ^tht+ncmp+++=that
a ^at++++=a
respondent ^jj++++=respondent
is ^vbz+bez+vrb++=is
reluctant ^jj+pred+++=reluctant
to ^to+jcmp+++=to
answer ^vb++++=answer
a ^at++++=a
question ^nn++++=question
in ^in++++=in
a ^at++++=a
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
interview ^nn++++=interview
( ^zz++++=(Hypothesis
hypothesis ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
scenario ^nn++++=scenario
is ^vbz+bez+vrb++=is
slightly ^rb+down+++=slightly
different ^jj+pred+++=different
from ^in++++=from
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
and ^cc++++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
put ^vb+++xvbn+=put
the ^ati++++=the
respondent ^nn++++=respondent
in ^in++++=in
the ^ati++++=the
focus ^nn++++=focus
but ^cc++++=but
rather ^rb++++=rather
the ^ati++++=the
situation ^nn++++=situation
of ^in++++=of
the ^ati++++=the
interview ^nn++++=interview
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
respondents ^nns++++=respondents
might ^md+pos+++=might
be ^vb+be+vrb++=be
self ^nn++++=self-conscious
- ^zz++++=EXTRAWORD
conscious ^jj++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
is ^vbz+bez+aux++=is
present ^vb++++=present
( ^zz++++=(
Reuband ^np++++=Reuband
1992 ^cd+date+++=1992
) ^zz++++=)
and ^cc++++=and
accordingly ^rb++++=accordingly
interview ^nn++++=interview
situations ^nns++++=situations
are ^vb+ber+aux++=are
preferred ^vpsv++agls+xvbnx+=preferred
when ^wrb+who+++=when
the ^ati++++=the
respondent ^jj++++=respondent
is ^vbz+bez+vrb++=is
alone ^rb++++=alone
with ^in++++=with
the ^ati++++=the
interviewer ^nn++++=interviewer.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
question ^nn++++=question
arises ^vbz++++=arises
whether ^cs+who+++=whether
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer
affects ^vbz++++=affects
the ^ati++++=the
probability ^nn++++=probability
that ^tht+ncmp+++=that
any ^dti++++=any
other ^ap++++=other
person ^nn++++=person
is ^vbz+bez+aux++=is
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
situations ^nns++++=situations
when ^wrb+who+++=when
having ^vbg+hvg++xvbg+=having
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
at ^in++++=at
the ^ati++++=the
interview ^nn++++=interview
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
avoided ^vpsv++agls+xvbnx+=avoided,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
small ^jj+atrb+++=small
children ^nns++++=children
are ^vb+ber+aux++=are
present ^vb++++=present
and ^cc++++=and
the ^ati++++=the
parent ^nn++++=parent
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^ap+down+++=only
person ^nn++++=person
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
different ^jj+pred+++=different,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
respondent ^nn++++=respondent
can ^md+pos+++=can
choose ^vb++++=choose
whether ^cs+who+++=whether
to ^to++++=to
be ^vbi++vrb++=be
alone ^rb++++=alone
and ^cc++++=and
the ^ati++++=the
interviewer ^nn++++=interviewer
is ^vbz+bez+aux++=is
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
a ^at++++=a
stranger ^nn++++=stranger
or ^cc++++=or
even ^rb++++=even
a ^at++++=a
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
plausible ^jj++++=plausible
that ^cs+sub+++=that
a ^at++++=a
respondent ^jj+atrb+++=respondent
opts ^nns+++??+=opts
for ^in++++=for
not ^xnot++not++=not
facing ^vbg+++xvbg+=facing
the ^ati++++=the
interviewer ^nn++++=interviewer
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
having ^vbg+hvg++xvbg+=having
another ^dt++++=another
person ^nn++++=person
participate ^vb++++=participate,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spouse ^nn++++=spouse
or ^cc++++=or
a ^at++++=a
roommate ^nn+++??+=roommate.
. ^zz++++=EXTRAWORD
As ^ql++++=As
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
the ^ati++++=the
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
larger ^jjr++++=larger
the ^ati++++=the
probability ^nn++++=probability
for ^in++++=for
liking ^xvbg+++xvbg+=liking
the ^ati++++=the
interviewer ^nn++++=interviewer.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
would ^md+prd+++=would
expect ^vb+vprv+++=expect
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
no ^at++++=no
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
call ^vb++++=call
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
to ^in++++=to
the ^ati++++=the
interview ^nn++++=interview
as ^ql++++=as
a ^at++++=a
companion ^nn++++=companion
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
respondent ^jj+atrb+++=respondent
likes ^nns++++=likes
the ^ati++++=the
interviewer ^nn++++=interviewer
and ^cc++++=and
perceives ^nns+++??+=perceives
him ^pp3o+pp3+++=him
or ^cc++++=or
her ^pp$+pp3+++=her
as ^in++++=as
sympathetic ^nn++++=sympathetic.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
even ^rb++++=even
if ^cs+cnd+++=if
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
is ^vbz+bez+aux++=is
present ^vb++++=present,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
the ^ati++++=the
chance ^nn++++=chance
that ^tht+rel+obj++=that
this ^dt+dem+++=this
person ^nn++++=person
actively ^rb++++=actively
interferes ^vbz++++=interferes
is ^vbz+bez+vrb++=is
smaller ^jjr+pred+++=smaller
when ^wrb+who+++=when
the ^ati++++=the
interview ^nn++++=interview
is ^vbz+bez+aux++=is
proceeding ^vbg+++xvbgx+=proceeding
smoothly ^rb++++=smoothly.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
might ^md+pos+++=might
agree ^vb+vpub+++=agree
to ^to++++=to
attend ^vbi++++=attend
the ^ati++++=the
interview ^nn++++=interview
in ^in++++=in
silence ^nn++++=silence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
interferes ^vbz++++=interferes
only ^rb+down+++=only
when ^wrb+who+++=when
the ^ati++++=the
interviewer ^nn++++=interviewer
is ^vbz+bez+aux++=is
probing ^vbg+++xvbgx+=probing
the ^ati++++=the
respondent ^jj++++=respondent
repeatedly ^rb++++=repeatedly.
. ^zz++++=EXTRAWORD
As ^ql++++=As
this ^dt+pdem+++=this
might ^md+pos+++=might
be ^vb+be+vrb++=be
more ^rbr++++=more
likely ^jj+pred+++=likely
when ^wrb+who+++=when
the ^ati++++=the
similarity ^nn++++=similarity
between ^in++++=between
interviewer ^nn++++=interviewer
and ^cc++++=and
respondent ^jj++++=respondent
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
would ^md+prd+++=would
explain ^vb+vpub+++=explain
how ^wrb+who+whcl++=how
similarity ^nn++++=similarity
and ^cc++++=and
third ^od++++=third
person ^nn++++=person
interference ^nn++++=interference
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbnx+=related.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
the ^ati++++=the
larger ^jjr++++=larger
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr++++=lower
the ^ati++++=the
probability ^nn++++=probability
that ^tht+ncmp+++=that
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
is ^vbz+bez+aux++=is
present ^vb++++=present
and ^cc+phrs+++=and
interfering ^vbg+++xvbg+=interfering
with ^in++++=with
the ^ati++++=the
interviewing ^nn++++=interviewing
process ^nn++++=process
( ^zz++++=(Hypothesis
hypothesis ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
