As ^cs+sub+++=As
immigrants ^nns++++=immigrants
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
category ^nn++++=category
hides ^vbz++++=hides
the ^ati++++=the
differences ^nns++++=differences
that ^tht+rel+subj++=that
exist ^vb++++=exist
between ^in++++=between
various ^jj+atrb+++=various
immigrant ^nn++++=immigrant
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
of ^in++++=of
Asian ^jj+atrb+++=Asian
immigrants ^nns++++=immigrants
( ^zz++++=(with
with ^in+cmpx+++=EXTRAWORD
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
Filipinos ^np+++??+=Filipinos)
) ^zz++++=EXTRAWORD
tend ^vb++++=tend
to ^to+vcmp+++=to
have ^vbi++++=have
higher ^jjr+atrb+++=higher
achievement ^nn++++=achievement
across ^in+pl+++=across
generations ^nns++++=generations
than ^in++++=than
most ^ql+emph+++=most
European ^jj+atrb+++=European
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
black ^jj+atrb+++=black
immigrants ^nns++++=immigrants
do ^vb+do+vrb++=do
not ^xnot++not++=not
experience ^nn++++=experience
such ^abl++++=such
generalized ^jj+atrb+++=generalized
upward ^jjb+atrb+++=upward
mobility ^nn++++=mobility
( ^zz++++=(
Abada ^np++++=Abada
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
differences ^nns++++=differences
among ^in++++=among
immigrant ^nn++++=immigrant
groups ^nns++++=groups
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
discovered ^vpsv++agls+xvbnx+=discovered
in ^in++++=in
data ^nns++++=data
where ^wrb+who+++=where
race ^nn++++=race
and ^cc++++=and
immigrant ^nn++++=immigrant
status ^nn++++=status
are ^vb+ber+aux++=are
simultaneously ^rb+tm+splt++=simultaneously
collected ^vpsv++agls+xvbnx+=collected.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
race ^nn++++=race
is ^vbz+bez+vrb++=is
absent ^jj+pred+++=absent
and ^cc++++=and
all ^abn++++=all
immigrants ^nns++++=immigrants
are ^vb+ber+aux++=are
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
a ^at++++=a
homogeneous ^jj+atrb+++=homogeneous
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
likely ^jj++++=likely
reveal ^vb+vprv+++=reveal
that ^tht+vcmp+++=that
the ^ati++++=the
average ^jj+atrb+++=average
immigrant ^nn++++=immigrant
performance ^nn++++=performance
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better
or ^cc++++=or
at ^in++++=at-par
- ^zz++++=EXTRAWORD
par ^&fw++++=EXTRAWORD
with ^in++++=with
children ^nns++++=children
of ^in++++=of
Canadian ^jj++++=Canadian-born
- ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=EXTRAWORD
parents ^nns++++=parents
a ^at++++=a
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
clouds ^nns++++=clouds
the ^ati++++=the
outcomes ^nn++++=outcomes
experienced ^vpsv++by+xvbn+=experienced
by ^in++++=by
different ^jj+atrb+++=different
racial ^jj+atrb+++=racial
immigrant ^nn++++=immigrant
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
