Psychotherapists ^np+++??+=Psychotherapists
with ^in++++=with
reality ^nn++++=reality
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sociotherapists ^nns+++??+=sociotherapists
are ^vb+ber+vrb++=are
attune ^nn+++??+=attune
to ^in++++=to
the ^ati++++=the
societal ^nn+++??+=societal
conditions ^nns++++=conditions
that ^tht+rel+subj++=that
deplete ^vb++++=deplete
subjective ^jj+atrb+++=subjective
defenses ^nns+++??+=defenses.
. ^zz++++=EXTRAWORD
A ^at++++=A
client ^nn++++=client
dealing ^vwbg+++xvbg+=dealing
with ^in++++=with
the ^ati++++=the
deleterious ^jj+atrb+++=deleterious
effects ^nns++++=effects
of ^in++++=of
anti ^nn+++??+=anti-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
racism ^nn+++??+=racism
or ^cc++++=or
Sinophobia ^np+++??+=Sinophobia
during ^in++++=during
the ^ati++++=the
present ^jj+atrb+++=present-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
want ^vb++++=want
to ^to+vcmp+++=to
talk ^vbi++++=talk
about ^in++++=about
identity ^nn++++=identity,
, ^zz++++=EXTRAWORD
race ^nn++++=race,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
racialization ^nn+++??+=racialization
more ^rbr++++=more
so ^ql++++=so
than ^cs+sub+++=than
family ^nn++++=family
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Therapy ^nn++++=Therapy
can ^md+pos+++=can
involve ^vb++++=involve
identifying ^jj+++xvbg+=identifying,
, ^zz++++=EXTRAWORD
working ^vbg+++xvbg+=working-through,
- ^zz++++=EXTRAWORD
through ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
organizing ^jj+++xvbg+=organizing
against ^in++++=against
non ^&fw++++=non-familial
- ^zz++++=EXTRAWORD
familial ^nn+++??+=EXTRAWORD
micro ^nn+++??+=micro-aggressions,
- ^zz++++=EXTRAWORD
aggressions ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
war ^nn++++=war,
, ^zz++++=EXTRAWORD
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oppressive ^jj+atrb+++=oppressive
state ^nn++++=state
systems ^nns++++=systems;
; ^zz++++=EXTRAWORD
much ^ap++++=much
of ^in++++=of
which ^whp+rel+pied++=which
goes ^vbz++++=goes
unnoticed ^jj++++=unnoticed
by ^in++++=by
white ^jj+atrb+++=white
privileged ^jj+atrb+++=privileged
majority ^nn++++=majority
groups ^nns++++=groups
with ^in++++=with
professional ^jj+atrb+++=professional
designations ^nns++++=designations.
. ^zz++++=EXTRAWORD
