Most ^ql+emph+++=Most
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
be ^vbi++vrb++=be
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
including ^in++++=including
two ^cd++++=two
( ^zz++++=(H.
h ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
nasus ^nns+++??+=nasus
and ^cc++++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
guentheri ^nn+++??+=guentheri)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
municipality ^nn++++=municipality
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
Hylodes ^np+++??+=Hylodes
nasus ^nns+++??+=nasus
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
the ^ati++++=the
forests ^nns++++=forests
of ^in++++=of
this ^dt+dem+++=this
municipality ^nn++++=municipality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
been ^vprf+ben+aux+xvbn+=been
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
( ^zz++++=(Nascimento
nascimento ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
Lingnau ^np+++??+=Lingnau
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Pnm ^np+++??+=PNM
Serra ^np+++??+=Serra
do ^vb+do+vrb++=do
Mendanha ^np+++??+=Mendanha
( ^zz++++=(Pontes
pontes ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Canedo ^np+++??+=Canedo
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
analyzed ^jj+atrb++??+=analyzed
specimens ^nns++++=specimens
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
H ^zz++++=H.
. ^zz++++=EXTRAWORD
nasus ^nns+++??+=nasus,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
the ^ati++++=the
municipality ^nn++++=municipality
of ^in++++=of
Volta ^np+++??+=Volta
Redonda ^np+++??+=Redonda,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
in ^in++++=in
Cachoeiro ^np+++??+=Cachoeiro
de ^&fw++++=de
Itapemirim ^np+++??+=Itapemirim,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
further ^jjb+atrb+++=further
research ^nn++++=research
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
confirm ^vbi+vpub+++=confirm
the ^ati++++=the
identity ^nn++++=identity
of ^in++++=of
the ^ati++++=the
taxon ^nn+++??+=taxon.
. ^zz++++=EXTRAWORD
Ischnocnema ^np+++??+=Ischnocnema
guentheri ^nn+++??+=guentheri
is ^vbz+bez+aux++=is
currently ^rb++splt++=currently
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
species ^nn++++=species
complex ^jj++++=complex
( ^zz++++=(Kwet
kwet ^nn+++??+=EXTRAWORD
& ^zz++++=&
Sol ^nn++++=Sol
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
Gehara ^np+++??+=Gehara
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
mitochondrial ^nn+++??+=mitochondrial
and ^cc++++=and
nuclear ^jj+atrb+++=nuclear
sequences ^nns++++=sequences,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
with ^in++++=with
bioacoustic ^nn+++??+=bioacoustic
data ^nns++++=data,
, ^zz++++=EXTRAWORD
Gehara ^np+++??+=Gehara
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
guentheri ^nn+++??+=guentheri
sensu ^nn+++??+=sensu
stricto ^nn+++??+=stricto
as ^ql++++=as
a ^at++++=a
lineage ^nn++++=lineage
restricted ^vbd+++xvbn+=restricted
to ^in++++=to
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
likely ^jj++++=likely
that ^tht+jcmp+++=that
this ^dt+dem+++=this
form ^nn++++=form
is ^vbz+bez+vrb++=is
also ^rb++++=also
present ^jj+pred+++=present
in ^in++++=in
adjacent ^jj+atrb+++=adjacent
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
