Several ^ap++++=Several
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
of ^in++++=of
" ^zz++++="promoting
promoting ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
within ^in++++=within"
" ^zz++++=EXTRAWORD
( ^zz++++=(Bondioli,
bondioli ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Bondioli ^np+++??+=Bondioli
& ^zz++++=&
Savio ^np+++??+=Savio,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Bondioli ^np+++??+=Bondioli,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015)
) ^zz++++=EXTRAWORD
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
guiding ^jj+atrb++xvbg+=guiding
principle ^nn++++=principle
for ^in++++=for
structuring ^nn++++=structuring
adult ^nn++++=adult
interventions ^nns++++=interventions
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
fostering ^nn+++??+=fostering
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
a ^at++++=a
scientific ^jj+atrb+++=scientific
mindset ^nn+++??+=mindset.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn++++=collection
methods ^nns++++=methods
included ^vbd+++xvbn+=included
videotaping ^nn+++??+=videotaping,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
observation ^nn++++=observation
protocols ^nns++++=protocols,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
two ^cd++++=two
analytical ^jj+atrb+++=analytical
grids ^nns++++=grids:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
focused ^vbd+++xvbn+=focused
on ^in++++=on
children ^nns++++=children's
's ^$++++=EXTRAWORD
epistemic ^nn+++??+=epistemic
behaviors ^nns+++??+=behaviors
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
on ^in++++=on
adult ^nn++++=adult
strategies ^nns+++??+=strategies
and ^cc++++=and
functions ^nns++++=functions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
initial ^jj+atrb+++=initial
analysis ^nn++++=analysis
provided ^vbd+++xvbn+=provided
insights ^nns++++=insights
into ^in++++=into
how ^wrb+who+++=how
specific ^jj+atrb+++=specific
elements ^nns++++=elements
of ^in++++=of
the ^ati++++=the
educational ^jj+atrb+++=educational
context ^nn++++=context
such ^abl++++=such
as ^ql++++=as
adult ^nn++++=adult
intervention ^nn++++=intervention
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spatial ^jj+atrb+++=spatial
organization ^nn++++=organization
can ^md+pos+++=can
facilitate ^vb++++=facilitate
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
a ^at++++=a
scientific ^jj+atrb+++=scientific
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
acquisition ^nn++++=acquisition
of ^in++++=of
critical ^jj+atrb+++=critical
thinking ^nn++++=thinking
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
