It ^pp3+it+++=It
paralanguage ^nn+++??+=paralanguage,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Kress ^np+++??+=Kress
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
describes ^vbz++++=describes
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
non ^&fw++++=non-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
animals ^nns++++=animals
to ^to++++=to
represent ^vbi++++=represent
humans ^nns++++=humans
as ^in++++=as
an ^at++++=an
instance ^nn++++=instance
of ^in++++=of
transduction ^nn++++=transduction.
. ^zz++++=EXTRAWORD
