Pseudostem ^np+++??+=Pseudostem
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
peduncle ^nn+++??+=peduncle
10 ^cd++++=10
15 ^cd++++=15
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
bracts ^nns+++??+=bracts
lax ^jj++++=lax,
, ^zz++++=EXTRAWORD
2.5 ^cd++++=2.5
3.9 ^cd++++=3.9
0.7 ^nn+++??+=0.7
1.7 ^cd++++=1.7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded,
, ^zz++++=EXTRAWORD
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
obtuse ^jj++++=obtuse
to ^in++++=to
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
green ^nn++++=green,
, ^zz++++=EXTRAWORD
each ^dt++++=each
subtending ^nn+++??+=subtending
a ^at++++=a
cincinnus ^nns+++??+=cincinnus
of ^in++++=of
3 ^zz++++=3
6 ^zz++++=6
flowers ^nns++++=flowers;
; ^zz++++=EXTRAWORD
bracteoles ^nns+++??+=bracteoles
tubular ^jj++++=tubular;
; ^zz++++=EXTRAWORD
first ^od++++=first
bracteole ^vb+++??+=bracteole
approximately ^rb+down+++=approximately
1.6 ^cd++++=1.6
1 ^zz++++=1
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish;
; ^zz++++=EXTRAWORD
second ^od++++=second
bracteole ^nn+++??+=bracteole
approximately ^rb+down+++=approximately
1.2 ^cd++++=1.2
0.5 ^nn+++??+=0.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
membranous ^nns+++??+=membranous,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish;
; ^zz++++=EXTRAWORD
third ^od++++=third
bracteole ^vb+++??+=bracteole
approximately ^rb+down+++=approximately
1 ^zz++++=1
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
membranous ^nns+++??+=membranous,
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy,
, ^zz++++=EXTRAWORD
greenish ^jj++++=greenish.
. ^zz++++=EXTRAWORD
Flowers ^nns++++=Flowers
orange ^nn++++=orange;
; ^zz++++=EXTRAWORD
calyx ^nn+++??+=calyx
tubular ^jj++++=tubular,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
2.7 ^cd++++=2.7
0.5 ^nn+++??+=0.5
0.7 ^nn+++??+=0.7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
2 ^zz++++=2-dentate,
- ^zz++++=EXTRAWORD
dentate ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
hairy ^jj++++=hairy;
; ^zz++++=EXTRAWORD
corolla ^nn+++??+=corolla
tube ^nn++++=tube
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
2.8 ^cd++++=2.8
3.2 ^cd++++=3.2
0.2 ^nn+++??+=0.2
0.3 ^nn+++??+=0.3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
3 ^zz++++=3-lobed,
- ^zz++++=EXTRAWORD
lobed ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
lobes ^nns++++=lobes
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
2.9 ^cd++++=2.9
3.2 ^cd++++=3.2
0.3 ^nn+++??+=0.3
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
labellum ^nn+++??+=labellum
suborbicular ^nn+++??+=suborbicular,
, ^zz++++=EXTRAWORD
2.2 ^cd++++=2.2
2.4 ^cd++++=2.4
1.8 ^cd++++=1.8
2 ^zz++++=2
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
2 ^zz++++=2-lobed,
- ^zz++++=EXTRAWORD
lobed ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
base ^nn++++=base
attenuate ^nn+++??+=attenuate,
, ^zz++++=EXTRAWORD
0.7 ^nn+++??+=0.7
1 ^zz++++=1
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
deeply ^rb++++=deeply
divided ^jj+++xvbn+=divided,
, ^zz++++=EXTRAWORD
0.9 ^nn+++??+=0.9
1.2 ^cd++++=1.2
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
lateral ^jj+atrb+++=lateral
staminodes ^nns+++??+=staminodes
oblanceolate ^nn+++??+=oblanceolate,
, ^zz++++=EXTRAWORD
2.2 ^cd++++=2.2
2.4 ^cd++++=2.4
0.5 ^nn+++??+=0.5
0.7 ^nn+++??+=0.7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
base ^nn++++=base
attenuate ^nn+++??+=attenuate,
, ^zz++++=EXTRAWORD
0.7 ^nn+++??+=0.7
1 ^zz++++=1
0.3 ^nn+++??+=0.3
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
anther ^nn+++??+=anther
dorsifixed ^nn+++??+=dorsifixed,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1 ^zz++++=1
0.3 ^nn+++??+=0.3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
filament ^nn++++=filament
4.5 ^cd++++=4.5
5.2 ^cd++++=5.2
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
approximately ^rb+down+++=approximately
0.1 ^jj+atrb++??+=0.1
cm ^nnu++++=cm
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
densely ^rb++++=densely
ciliate ^jj+++??+=ciliate,
, ^zz++++=EXTRAWORD
green ^nn++++=green;
; ^zz++++=EXTRAWORD
epigynous ^nns+++??+=epigynous
glands ^nns+++??+=glands
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
0.3 ^nn+++??+=0.3
0.4 ^nn+++??+=0.4
0.2 ^nn+++??+=0.2
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
ovary ^nn+++??+=ovary
0.3 ^nn+++??+=0.3
0.5 ^nn+++??+=0.5
0.3 ^nn+++??+=0.3
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
3 ^zz++++=3-loculed,
- ^zz++++=EXTRAWORD
loculed ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
pubescent ^nn+++??+=pubescent,
, ^zz++++=EXTRAWORD
orange ^np++++=orange,
, ^zz++++=EXTRAWORD
with ^in++++=with
multiple ^jj+atrb+++=multiple
ovules ^nns++++=ovules
per ^nnu++++=per
locule ^nn++++=locule.
. ^zz++++=EXTRAWORD
fruits ^nns++++=Fruits
not ^xnot++not++=not
observed ^jj++++=observed.
. ^zz++++=EXTRAWORD
