By ^in++++=By
and ^cc++++=and
public ^jj+atrb+++=public
criticism ^nn++++=criticism.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
Covaxin ^np+++??+=Covaxin
was ^vbd+bedz+aux++=was
approved ^vpsv++agls+xvbnx+=approved
based ^vbd+++xvbn+=based
solely ^rb++++=solely
on ^in++++=on
Phase ^nn++++=Phase
I ^pp1a+pp1+++=I
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
data ^nns++++=data.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vaccination ^nn++++=vaccination
rate ^nn++++=rate
increased ^vbd+++xvbn+=increased
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
hindered ^xvbn+++xvbn+=hindered
by ^in++++=by
competition ^nn++++=competition
among ^in++++=among
state ^nn++++=state
governments ^nns++++=governments
and ^cc++++=and
private ^jj+atrb+++=private
hospitals ^nns++++=hospitals
for ^in++++=for
limited ^jj+atrb++xvbn+=limited
resources ^nns++++=resources
such ^abl++++=such
as ^ql++++=as
vaccines ^nns++++=vaccines,
, ^zz++++=EXTRAWORD
ventilators ^nns++++=ventilators,
, ^zz++++=EXTRAWORD
oxygen ^nn++++=oxygen
cylinders ^nns++++=cylinders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hospital ^npl++++=hospital
beds ^nns++++=beds.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
abrupt ^jj+atrb+++=abrupt
policy ^nn++++=policy
shift ^nn++++=shift
from ^in++++=from
prioritizing ^nn+++??+=prioritizing
individuals ^nns++++=individuals
over ^in++++=over
50 ^cd++++=50
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
to ^in++++=to
including ^in++++=including
all ^abn++++=all
adults ^nns++++=adults
over ^in++++=over
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
implemented ^xvbn+++xvbn+=implemented
without ^in++++=without
prior ^jj+atrb+++=prior
consultation ^nn++++=consultation
with ^in++++=with
state ^nn++++=state
authorities ^nns++++=authorities,
, ^zz++++=EXTRAWORD
further ^jjb++++=further
complicated ^jj+++xvbn+=complicated
the ^ati++++=the
rollout ^nn+++??+=rollout.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
January ^nr++++=January
and ^cc++++=and
mid ^jjb++++=mid-May
- ^zz++++=EXTRAWORD
may ^md+pos+++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
vaccinated ^nn+++??+=vaccinated,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
most ^ql+emph+++=most
non ^&fw++++=non-pharmacological
- ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=EXTRAWORD
interventions ^nns++++=interventions
were ^vbd+bed+aux++=were
discontinued ^vpsv++agls+xvbn+=discontinued.
. ^zz++++=EXTRAWORD
