Pseudostem ^np+++??+=Pseudostem
, ^zz++++=EXTRAWORD
0.6 ^nn+++??+=0.6
1.2 ^cd++++=1.2
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
lateral ^jj+atrb+++=lateral
lobes ^nns++++=lobes
involute ^nn+++??+=involute,
, ^zz++++=EXTRAWORD
rounded ^j+++xvbn+=rounded;
; ^zz++++=EXTRAWORD
middle ^jjb+atrb+++=middle
lobe ^nn+++??+=lobe
entire ^jjb++++=entire
or ^cc++++=or
bilobulate ^nn+++??+=bilobulate,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
1.5 ^cd++++=1.5
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
lateral ^jj+atrb+++=lateral
staminodes ^nns+++??+=staminodes
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
0.3 ^jj+atrb++??+=0.3
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
claw ^nn++++=claw
approximately ^rb+down+++=approximately
0.1 ^jj+atrb++??+=0.1
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
anther ^nn+++??+=anther
0.6 ^nn+++??+=0.6
0.8 ^nn+++??+=0.8
0.3 ^nn+++??+=0.3
0.4 ^nn+++??+=0.4
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
filament ^nn++++=filament
approximately ^rb+down+++=approximately
0.2 ^jj+atrb++??+=0.2
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
style ^nn++++=style
1.7 ^cd++++=1.7
2 ^zz++++=2
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
stigma ^nn++++=stigma
0.2 ^nn+++??+=0.2
0.3 ^nn+++??+=0.3
cm ^nnu++++=cm
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
cordiform ^nn+++??+=cordiform,
, ^zz++++=EXTRAWORD
puberulous ^nns+++??+=puberulous,
, ^zz++++=EXTRAWORD
red ^jj++++=red;
; ^zz++++=EXTRAWORD
nectaries ^nns+++??+=nectaries
approximately ^rb+down+++=approximately
0.3 ^nn+++??+=0.3
0.3 ^nn+++??+=0.3
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
ovary ^nn+++??+=ovary
1 ^zz++++=1
1.3 ^cd++++=1.3
0.5 ^nn+++??+=0.5
0.7 ^nn+++??+=0.7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
glabrous ^nns+++??+=glabrous,
, ^zz++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
with ^in++++=with
multiple ^jj+atrb+++=multiple
ovules ^nns+++??+=ovules
per ^nnu++++=per
locule ^nn+++??+=locule.
. ^zz++++=EXTRAWORD
Capsule ^np+++??+=Capsule
1 ^zz++++=1
2 ^zz++++=2
1.2 ^cd++++=1.2
2 ^zz++++=2
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
red ^jj++++=red,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
black ^jj++++=black
at ^rb++++=at
maturity ^nn++++=maturity.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
0.3 ^nn+++??+=0.3
0.5 ^nn+++??+=0.5
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
bright ^jj++++=bright
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
with ^in++++=with
orange ^np++++=orange
aril ^nn++++=aril.
. ^zz++++=EXTRAWORD
