Originally ^rb+tm+++=Originally
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
between ^in++++=between
risk ^nn++++=risk
periods ^nns++++=periods
( ^zz++++=(1,2,8).
1,2,8 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
study ^nn++++=study
assessing ^vwbg+++xvbg+=assessing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Guillain ^np+++??+=Guillain-Barr
- ^zz++++=EXTRAWORD
barr ^np++++=EXTRAWORD
Syndrome ^np+++??+=Syndrome
( ^zz++++=(GBS)
gbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
Human ^jj+atrb+++=Human
Papillomavirus ^np+++??+=Papillomavirus
( ^zz++++=(HPV)
hpv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
the ^ati++++=the
risk ^nn++++=risk
period ^nn++++=period
was ^vbd+bedz+aux++=was
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
interval ^nn++++=interval
from ^in++++=from
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
vaccination ^nn++++=vaccination
( ^zz++++=(day
day ^nn++++=EXTRAWORD
0 ^zz++++=0)
) ^zz++++=EXTRAWORD
to ^in++++=to
day ^nn++++=day
91 ^cd++++=91,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
control ^nn++++=control
period ^nn++++=period
included ^vbd+++xvbn+=included
all ^abn++++=all
other ^ap++++=other
times ^nns++++=times
outside ^jjb++++=outside
the ^ati++++=the
risk ^nn++++=risk
period ^nn++++=period
( ^zz++++=(9).
9 ^zz++++=EXTRAWORD
). ^nn++++=EXTRAWORD
