Certain ^jj+atrb+++=Certain
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
Factors ^nns++++=Factors
Iii ^np+++??+=III
( ^zz++++=(Hope)
hope ^vb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Vii ^np+++??+=VII
( ^zz++++=(Interest)
interest ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period,
, ^zz++++=EXTRAWORD
coinciding ^vbg+++xvbg+=coinciding
with ^in++++=with
the ^ati++++=the
team ^nn++++=team
s ^zz++++=s
loss ^nn++++=loss
of ^in++++=of
qualification ^nn++++=qualification
prospects ^nns++++=prospects.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
defeat ^nn++++=defeat
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
heightened ^vbd+++xvbn+=heightened
negative ^jj+atrb+++=negative
emotions ^nns++++=emotions
and ^cc++++=and
diminished ^jj+atrb++xvbn+=diminished
positive ^jj+atrb+++=positive
emotions ^nns++++=emotions
among ^in++++=among
athletes ^nns+++??+=athletes
after ^in++++=after
competition ^nn++++=competition
( ^zz++++=(Ahmadi
ahmadi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Rubio ^np+++??+=Rubio,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
intensity ^nn++++=intensity
of ^in++++=of
negative ^jj+atrb+++=negative
mood ^nn++++=mood
states ^np++++=states
fluctuates ^vbz++++=fluctuates
as ^in++++=as
competition ^nn++++=competition
progresses ^vbz++++=progresses
( ^zz++++=(Bueno
bueno ^np++++=EXTRAWORD
& ^zz++++=&
Di ^&fw++++=Di
Bonif ^np+++??+=Bonif
cio ^nn+++??+=cio,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
research ^nn++++=research
is ^vbz+bez+aux++=is
warranted ^vpsv++agls+xvbnx+=warranted
to ^to++++=to
determine ^vbi++++=determine
how ^wrb+who+++=how
other ^ap++++=other
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
draws ^vbz++++=draws
or ^cc++++=or
victories ^nns++++=victories,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
influence ^vb++++=influence
the ^ati++++=the
presence ^nn++++=presence
and ^cc++++=and
evolution ^nn++++=evolution
of ^in++++=of
specific ^jj+atrb+++=specific
present ^jj+atrb+++=Present
mood ^nn++++=Mood
states ^nns++++=States
throughout ^in++++=throughout
a ^at++++=a
competitive ^jj+atrb+++=competitive
period ^nn++++=period.
. ^zz++++=EXTRAWORD
