Since ^in++++=Since
asserted ^j+++xvbn+=asserted,
, ^zz++++=EXTRAWORD
Russia ^np++++=Russia
s ^zz++++=s
war ^nn++++=war
marks ^nns++++=marks
the ^ati++++=the
dawn ^nn++++=dawn
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
watershed ^nn++++=watershed
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
s ^zz++++=s
certainties ^nns++++=certainties
are ^vb+ber+aux++=are
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
face ^vb++++=face
a ^at++++=a
new ^jj+atrb+++=new
reality ^nn++++=reality
that ^tht+rel+obj++=that
none ^pn++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
chose ^vbd+++xvbn+=chose.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
reality ^nn++++=reality
that ^tht+rel+obj++=that
President ^npt++++=President
Putin ^np+++??+=Putin
has ^vbz+hvz+aux++=has
forced ^vprf+++xvbnx+=forced
upon ^in++++=upon
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
term ^nn++++=term
truce ^nn+++??+=truce
was ^vbd+bedz+vrb++=was
absent ^jj+pred+++=absent
from ^in++++=from
these ^dt+dem+++=these
speeches ^nns++++=speeches.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
calling ^nn++++=calling
for ^in++++=for
de ^&fw++++=de-escalation
- ^zz++++=EXTRAWORD
escalation ^nn++++=EXTRAWORD
and ^cc++++=and
dialogue ^nn++++=dialogue,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
announced ^vbd+vpub+tht0+xvbn+=announced
an ^at++++=an
armament ^nn++++=armament
plan ^vb++++=plan
that ^dt+pdem+++=that
would ^md+prd+++=would
position ^vb++++=position
Germany ^np++++=Germany
as ^in++++=as
the ^ati++++=the
world ^nn++++=world
s ^zz++++=s
third ^od++++=third
largest ^jjt+atrb+++=largest
defence ^nn++++=defence
spender ^nn+++??+=spender.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
Germany ^np++++=Germany
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
historically ^rb++++=historically
been ^vprf+ben+vrb+xvbn+=been
as ^ql++++=as
pacifist ^nn++++=pacifist
as ^ql++++=as
some ^dti++++=some
national ^jj+atrb+++=national
narratives ^nns++++=narratives
suggest ^vb+vpub+++=suggest
( ^zz++++=(Dalgaard-Nielsen,
dalgaard ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
nielsen ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Rathbun ^np+++??+=Rathbun,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
s ^zz++++=s
decision ^nn++++=decision
nonetheless ^rb+cnj+++=nonetheless
represents ^vbz++++=represents
a ^at++++=a
significant ^jj+atrb+++=significant
shift ^nn++++=shift
in ^in++++=in
german ^jj+atrb+++=German
military ^jj+atrb+++=military
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
