By ^in++++=By
notable ^jj+atrb+++=notable
discrepancy ^nn++++=discrepancy
between ^in++++=between
the ^ati++++=the
empirical ^jj+atrb+++=empirical
realities ^nns++++=realities
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
and ^cc++++=and
the ^ati++++=the
narratives ^nns++++=narratives
promoted ^vwbn+++xvbn+=promoted
by ^in++++=by
national ^jj+atrb+++=national
leaders ^nns++++=leaders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
political ^jj+atrb+++=political
authority ^nn++++=authority
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic
in ^in++++=in
both ^abx++++=both
Brazil ^np++++=Brazil
and ^cc++++=and
India ^np++++=India
was ^vbd+bedz+vrb++=was
a ^at++++=a
charismatic ^nn+++??+=charismatic
executive ^nn++++=executive
who ^whp+rel+subj++=who
frequently ^rb++++=frequently
regarded ^vpsv++agls+xvbn+=regarded
mainstream ^nn++++=mainstream
scientific ^jj+atrb+++=scientific
experts ^nns++++=experts
as ^ql++++=as
adversaries ^nns++++=adversaries.
. ^zz++++=EXTRAWORD
