Subsequently ^rb+cnj+++=Subsequently,
tooth ^nn++++=tooth
brushing ^vwbg+++xvbg+=brushing
is ^vbz+bez+vrb++=is
a ^at++++=a
daily ^jj+atrb+++=daily
activity ^nn++++=activity
typically ^rb++++=typically
performed ^vbd+++xvbn+=performed
before ^cs+sub+++=before
breakfast ^nn++++=breakfast
or ^cc++++=or
prior ^jj++++=prior
to ^to++++=to
engaging ^vbi++++=engaging
in ^in++++=in
daily ^jj+atrb+++=daily
routines ^nns++++=routines.
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
reinforces ^vbz++++=reinforces
the ^ati++++=the
verbal ^jj+atrb+++=verbal
message ^nn++++=message
with ^in++++=with
accompanying ^xvbg+++xvbg+=accompanying
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
folding ^jj++++=folding
his ^pp$+pp3+++=his
fingers ^nns++++=fingers
together ^rb++++=together
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
reminiscent ^jj++++=reminiscent
of ^in++++=of
a ^at++++=a
boxer ^np++++=boxer
preparing ^vwbg+++xvbg+=preparing
for ^in++++=for
a ^at++++=a
match ^nn++++=match,
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
his ^pp$+pp3+++=his
hands ^nns++++=hands
slightly ^rb+down+++=slightly
to ^in++++=to
chest ^nn++++=chest
level ^nn++++=level,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
holding ^nvbg+++xvbg+=holding
a ^at++++=a
toothbrush ^nn+++??+=toothbrush
in ^in++++=in
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
makes ^vbz++++=makes
a ^at++++=a
forward ^rb++++=forward
( ^zz++++=(sagittal)
sagittal ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
movement ^nn++++=movement
with ^in++++=with
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
uses ^vbz++++=uses
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand
to ^to++++=to
emphasize ^vbi++++=emphasize
the ^ati++++=the
statement ^nn++++=statement,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
clean ^vb++++=clean
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
every ^at++++=every
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
combination ^nn++++=combination
of ^in++++=of
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language
and ^cc++++=and
gestural ^nn+++??+=gestural
actions ^nns++++=actions
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
demonstrative ^jj+atrb+++=demonstrative
means ^nn++++=means
of ^in++++=of
conveying ^jj+atrb+++=conveying
conviction ^nn++++=conviction.
. ^zz++++=EXTRAWORD
