Two ^cd++++=Two
, ^zz++++=EXTRAWORD
limited ^j+++xvbn+=limited
testing ^jj+++xvbg+=testing
to ^in++++=to
hospitalized ^jj+atrb++??+=hospitalized
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prioritized ^nn+++??+=prioritized
Hcq ^np+++??+=HCQ
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
pharmaceutical ^jj+atrb+++=pharmaceutical
intervention ^nn++++=intervention.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
Pazuello ^np+++??+=Pazuello
and ^cc++++=and
Bolsonaro ^np+++??+=Bolsonaro
exerted ^vbd+++xvbn+=exerted
pressure ^nn++++=pressure
on ^in++++=on
Anvisa ^np+++??+=ANVISA,
, ^zz++++=EXTRAWORD
the ^ati++++=the
independent ^jj+atrb+++=independent
Health ^nn++++=Health
Regulatory ^np+++??+=Regulatory
Agency ^nn++++=Agency,
, ^zz++++=EXTRAWORD
to ^to++++=to
authorize ^vbi++++=authorize
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
chloroquine ^nn++++=chloroquine
imported ^vbd+++xvbn+=imported
from ^in++++=from
India ^np++++=India
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
directed ^vbd+++xvbn+=directed
the ^ati++++=the
army ^nn++++=army
laboratory ^nn++++=laboratory
to ^to++++=to
produce ^vbi++++=produce
over ^in++++=over
one ^cd1++++=one
million ^cd++++=million
chloroquine ^nn+++??+=chloroquine
tablets ^nns++++=tablets
within ^in++++=within
a ^at++++=a
few ^ap++++=few
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
restrict ^vbi++++=restrict
public ^jj+atrb+++=public
access ^nn++++=access
to ^in++++=to
information ^nn++++=information
on ^in++++=on
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
fatalities ^nns++++=fatalities
by ^in++++=by
reporting ^xvbg+++xvbg+=reporting
only ^rb+down+++=only
new ^jj+atrb+++=new
daily ^jj+atrb+++=daily
case ^nn++++=case
numbers ^nns++++=numbers
rather ^rb++++=rather
than ^in++++=than
death ^nn++++=death
counts ^nns++++=counts.
. ^zz++++=EXTRAWORD
